WL(um)	Flux(W/m2/um)
0.1767	1.59E+02
0.1769	1.67E+02
0.1771	1.77E+02
0.1773	1.86E+02
0.1774	1.84E+02
0.1776	2.05E+02
0.1778	2.03E+02
0.1779	2.17E+02
0.1781	2.06E+02
0.1783	1.93E+02
0.1784	1.81E+02
0.1786	1.94E+02
0.1788	2.00E+02
0.1789	2.07E+02
0.1791	2.32E+02
0.1793	1.93E+02
0.1794	2.09E+02
0.1796	2.04E+02
0.1798	1.94E+02
0.1799	2.04E+02
0.1801	2.12E+02
0.1803	1.95E+02
0.1804	1.87E+02
0.1806	1.77E+02
0.1808	1.60E+02
0.1809	1.73E+02
0.1811	2.04E+02
0.1813	2.00E+02
0.1814	2.01E+02
0.1816	2.23E+02
0.1818	2.26E+02
0.1819	2.24E+02
0.1821	2.58E+02
0.1823	2.43E+02
0.1824	2.11E+02
0.1826	2.06E+02
0.1828	2.20E+02
0.183	2.35E+02
0.1831	2.31E+02
0.1833	2.38E+02
0.1835	2.30E+02
0.1836	2.01E+02
0.1838	2.02E+02
0.184	2.10E+02
0.1841	1.92E+02
0.1843	1.89E+02
0.1845	1.77E+02
0.1846	1.61E+02
0.1848	1.51E+02
0.185	1.58E+02
0.1851	1.67E+02
0.1853	1.89E+02
0.1855	1.91E+02
0.1856	2.15E+02
0.1858	2.33E+02
0.186	2.15E+02
0.1861	2.49E+02
0.1863	2.37E+02
0.1865	2.62E+02
0.1866	2.89E+02
0.1868	3.00E+02
0.187	2.91E+02
0.1871	2.68E+02
0.1873	2.60E+02
0.1875	2.57E+02
0.1876	2.66E+02
0.1878	2.95E+02
0.188	2.97E+02
0.1881	3.12E+02
0.1883	3.23E+02
0.1885	3.07E+02
0.1887	3.04E+02
0.1888	2.89E+02
0.189	3.06E+02
0.1892	3.08E+02
0.1893	3.06E+02
0.1895	3.09E+02
0.1897	3.02E+02
0.1898	2.78E+02
0.19	2.66E+02
0.1902	2.73E+02
0.1903	2.98E+02
0.1905	2.94E+02
0.1907	2.85E+02
0.1908	2.96E+02
0.191	3.07E+02
0.1912	3.04E+02
0.1913	2.95E+02
0.1915	3.21E+02
0.1917	3.41E+02
0.1918	3.23E+02
0.192	3.33E+02
0.1922	3.41E+02
0.1923	2.90E+02
0.1925	2.77E+02
0.1927	2.60E+02
0.1928	2.18E+02
0.193	1.91E+02
0.1932	1.74E+02
0.1933	1.92E+02
0.1935	2.11E+02
0.1937	2.43E+02
0.1938	2.72E+02
0.194	3.16E+02
0.1942	3.12E+02
0.1944	3.29E+02
0.1945	3.40E+02
0.1947	3.23E+02
0.1949	3.42E+02
0.195	3.45E+02
0.1952	3.32E+02
0.1954	3.54E+02
0.1955	3.49E+02
0.1957	3.33E+02
0.1959	3.15E+02
0.196	3.14E+02
0.1962	3.27E+02
0.1964	3.17E+02
0.1965	3.16E+02
0.1967	3.32E+02
0.1969	3.31E+02
0.197	3.31E+02
0.1972	3.08E+02
0.1974	2.92E+02
0.1975	3.26E+02
0.1977	3.39E+02
0.1979	3.38E+02
0.198	3.37E+02
0.1982	4.50E+02
0.1985	3.70E+02
0.1988	3.73E+02
0.199	3.61E+02
0.1993	3.62E+02
0.1996	3.77E+02
0.1998	3.66E+02
0.2001	3.88E+02
0.2004	3.63E+02
0.2006	4.31E+02
0.2009	3.84E+02
0.2012	3.70E+02
0.2014	4.86E+02
0.2017	4.10E+02
0.202	4.39E+02
0.2022	4.35E+02
0.2025	4.24E+02
0.2028	4.17E+02
0.203	4.68E+02
0.2033	4.39E+02
0.2036	4.75E+02
0.2038	4.75E+02
0.2041	4.75E+02
0.2044	5.55E+02
0.2046	6.02E+02
0.2049	5.55E+02
0.2052	5.66E+02
0.2054	5.62E+02
0.2057	5.18E+02
0.206	5.55E+02
0.2062	4.64E+02
0.2065	5.66E+02
0.2068	5.44E+02
0.207	6.05E+02
0.2073	6.24E+02
0.2076	7.21E+02
0.2078	7.43E+02
0.2081	7.47E+02
0.2084	6.49E+02
0.2086	6.56E+02
0.2089	6.82E+02
0.2092	6.09E+02
0.2094	6.53E+02
0.2097	6.60E+02
0.21	6.20E+02
0.2102	6.67E+02
0.2105	6.16E+02
0.2108	6.31E+02
0.211	4.24E+02
0.2113	5.87E+02
0.2116	6.60E+02
0.2118	7.83E+02
0.2121	7.76E+02
0.2124	5.18E+02
0.2126	5.76E+02
0.2129	5.76E+02
0.2132	4.60E+02
0.2134	4.31E+02
0.2137	5.84E+02
0.214	4.79E+02
0.2142	7.21E+02
0.2145	6.89E+02
0.2148	5.44E+02
0.215	5.47E+02
0.2153	6.89E+02
0.2156	7.00E+02
0.2158	5.87E+02
0.2161	6.31E+02
0.2164	6.27E+02
0.2166	4.02E+02
0.2169	5.18E+02
0.2172	6.31E+02
0.2174	5.58E+02
0.2177	5.00E+02
0.218	6.63E+02
0.2182	7.94E+02
0.2185	6.42E+02
0.2188	5.22E+02
0.219	6.16E+02
0.2193	6.16E+02
0.2196	8.12E+02
0.2198	8.19E+02
0.2201	6.56E+02
0.2204	8.85E+02
0.2206	6.24E+02
0.2209	6.27E+02
0.2212	3.10E+02
0.2214	5.91E+02
0.2217	6.31E+02
0.222	6.96E+02
0.2222	7.21E+02
0.2225	7.25E+02
0.2228	5.66E+02
0.223	6.31E+02
0.2233	7.07E+02
0.2236	7.54E+02
0.2238	8.23E+02
0.2241	8.41E+02
0.2244	6.92E+02
0.2246	6.60E+02
0.2249	5.58E+02
0.2252	5.47E+02
0.2254	4.24E+02
0.2257	5.33E+02
0.226	6.45E+02
0.2263	7.25E+02
0.2265	6.13E+02
0.2268	4.89E+02
0.2271	4.93E+02
0.2273	5.80E+02
0.2276	4.17E+02
0.2279	4.60E+02
0.2281	7.47E+02
0.2284	7.07E+02
0.2287	7.72E+02
0.2289	6.38E+02
0.2292	6.13E+02
0.2295	6.34E+02
0.2297	5.18E+02
0.23	3.99E+02
0.2303	5.80E+02
0.2305	6.74E+02
0.2308	7.61E+02
0.2311	6.96E+02
0.2313	4.97E+02
0.2316	7.18E+02
0.2319	6.92E+02
0.2321	5.15E+02
0.2324	7.00E+02
0.2327	5.33E+02
0.2329	5.51E+02
0.2332	4.89E+02
0.2335	3.44E+02
0.2337	5.00E+02
0.234	2.94E+02
0.2343	3.70E+02
0.2345	3.52E+01
0.2348	1.14E+02
0.2351	4.17E+02
0.2353	5.47E+02
0.2356	5.18E+02
0.2359	5.40E+02
0.2361	2.66E+02
0.2364	4.75E+02
0.2367	3.00E+02
0.2369	4.31E+02
0.2372	5.47E+02
0.2375	4.28E+02
0.2377	5.22E+02
0.238	3.92E+02
0.2383	1.15E+02
0.2385	3.44E+02
0.2388	3.95E+02
0.2391	4.06E+02
0.2393	5.47E+02
0.2396	1.15E+02
0.2399	3.38E+02
0.2401	3.84E+02
0.2404	3.92E+02
0.2407	1.67E+02
0.2409	3.95E+02
0.2412	2.26E+02
0.2415	3.59E+02
0.2417	4.93E+02
0.242	6.13E+02
0.2423	7.47E+02
0.2425	6.20E+02
0.2428	7.11E+02
0.2431	6.49E+02
0.2433	6.42E+02
0.2436	5.58E+02
0.2439	6.27E+02
0.2441	6.02E+02
0.2444	7.07E+02
0.2447	5.51E+02
0.2449	5.73E+02
0.2452	5.29E+02
0.2455	5.29E+02
0.2457	6.02E+02
0.246	5.98E+02
0.2463	4.75E+02
0.2465	4.86E+02
0.2468	4.71E+02
0.2471	5.04E+02
0.2473	5.73E+02
0.2476	6.34E+02
0.2479	5.51E+02
0.2481	5.87E+02
0.2484	4.02E+02
0.2487	6.13E+02
0.2489	4.35E+02
0.2492	3.92E+02
0.2495	5.91E+02
0.2497	6.85E+02
0.25	7.32E+02
0.2503	6.67E+02
0.2505	7.07E+02
0.2508	5.62E+02
0.2511	6.82E+02
0.2513	5.26E+02
0.2516	3.77E+02
0.2519	3.99E+02
0.2521	4.57E+02
0.2524	3.25E+02
0.2527	3.73E+02
0.2529	3.32E+02
0.2532	4.86E+02
0.2535	4.64E+02
0.2537	4.24E+02
0.254	4.39E+02
0.2543	4.02E+02
0.2545	4.64E+02
0.2548	4.17E+02
0.2551	3.88E+02
0.2553	6.42E+02
0.2556	6.78E+02
0.2559	6.63E+02
0.2561	6.85E+02
0.2564	5.26E+02
0.2567	6.92E+02
0.2569	8.23E+02
0.2572	8.59E+02
0.2575	7.98E+02
0.2577	6.16E+02
0.258	8.30E+02
0.2583	7.54E+02
0.2585	7.00E+02
0.2588	7.36E+02
0.2591	9.35E+02
0.2594	7.07E+02
0.2596	7.83E+02
0.2599	4.42E+02
0.2602	5.62E+02
0.2604	7.76E+02
0.2607	3.81E+02
0.261	5.69E+02
0.2612	3.99E+02
0.2615	5.47E+02
0.2618	6.82E+02
0.262	7.40E+02
0.2623	7.83E+02
0.2626	7.07E+02
0.2628	6.02E+02
0.2631	5.08E+02
0.2634	6.31E+02
0.2636	1.06E+03
0.2639	1.12E+03
0.2642	1.18E+03
0.2644	1.37E+03
0.2647	1.24E+03
0.265	1.21E+03
0.2652	1.22E+03
0.2655	1.28E+03
0.2658	1.29E+03
0.266	1.16E+03
0.2663	1.09E+03
0.2666	1.03E+03
0.2668	9.79E+02
0.2671	1.02E+03
0.2674	9.86E+02
0.2676	1.18E+03
0.2679	1.01E+03
0.2682	1.09E+03
0.2684	1.12E+03
0.2687	1.09E+03
0.269	1.02E+03
0.2692	1.09E+03
0.2695	1.09E+03
0.2698	1.06E+03
0.27	1.07E+03
0.2703	1.09E+03
0.2706	1.16E+03
0.2708	1.08E+03
0.2711	1.05E+03
0.2714	1.06E+03
0.2716	1.01E+03
0.2719	1.03E+03
0.2722	1.09E+03
0.2724	1.02E+03
0.2727	9.53E+02
0.273	1.04E+03
0.2732	1.09E+03
0.2735	1.00E+03
0.2738	8.99E+02
0.274	7.76E+02
0.2743	7.29E+02
0.2746	7.50E+02
0.2748	6.34E+02
0.2751	6.34E+02
0.2754	8.92E+02
0.2756	6.85E+02
0.2759	9.97E+02
0.2762	9.86E+02
0.2764	9.82E+02
0.2767	1.05E+03
0.277	9.64E+02
0.2772	1.11E+03
0.2775	1.12E+03
0.2778	9.90E+02
0.278	8.52E+02
0.2783	8.85E+02
0.2786	8.77E+02
0.2788	8.48E+02
0.2791	5.26E+02
0.2794	3.02E+02
0.2796	1.87E+02
0.2799	2.33E+02
0.2802	2.70E+02
0.2804	2.89E+02
0.2807	5.40E+02
0.281	8.05E+02
0.2812	8.92E+02
0.2815	1.06E+03
0.2818	1.12E+03
0.282	1.23E+03
0.2823	1.24E+03
0.2826	1.30E+03
0.2828	1.31E+03
0.2831	1.29E+03
0.2834	1.25E+03
0.2836	1.11E+03
0.2839	1.21E+03
0.2842	1.08E+03
0.2844	1.11E+03
0.2847	1.09E+03
0.285	9.68E+02
0.2852	6.85E+02
0.2855	9.50E+02
0.2858	1.06E+03
0.286	1.26E+03
0.2863	1.24E+03
0.2866	1.23E+03
0.2868	1.12E+03
0.2871	1.14E+03
0.2874	1.26E+03
0.2876	1.24E+03
0.2879	1.17E+03
0.2882	1.03E+03
0.2884	1.20E+03
0.2887	1.27E+03
0.289	1.15E+03
0.2892	1.16E+03
0.2895	1.19E+03
0.2898	1.37E+03
0.29	1.48E+03
0.2903	1.51E+03
0.291	1.58E+03
0.293	1.45E+03
0.295	1.44E+03
0.297	1.54E+03
0.299	1.58E+03
0.301	1.66E+03
0.303	1.63E+03
0.305	1.68E+03
0.307	1.70E+03
0.309	1.73E+03
0.311	1.72E+03
0.313	1.71E+03
0.315	1.70E+03
0.317	1.76E+03
0.319	1.59E+03
0.321	1.72E+03
0.323	1.53E+03
0.325	1.75E+03
0.327	1.90E+03
0.329	1.86E+03
0.331	1.91E+03
0.333	1.90E+03
0.335	1.90E+03
0.337	1.74E+03
0.339	1.83E+03
0.341	1.82E+03
0.343	1.83E+03
0.345	1.88E+03
0.347	1.88E+03
0.349	1.93E+03
0.351	1.97E+03
0.353	1.90E+03
0.355	2.08E+03
0.357	1.86E+03
0.359	1.82E+03
0.361	1.88E+03
0.363	1.88E+03
0.364	1.91E+03
0.365	2.08E+03
0.367	2.01E+03
0.369	1.88E+03
0.371	2.03E+03
0.373	1.91E+03
0.375	2.12E+03
0.377	2.29E+03
0.379	2.49E+03
0.381	2.70E+03
0.383	2.10E+03
0.385	2.77E+03
0.387	2.88E+03
0.389	2.38E+03
0.391	2.82E+03
0.393	1.67E+03
0.395	2.49E+03
0.397	1.73E+03
0.399	2.98E+03
0.401	3.14E+03
0.403	3.18E+03
