WL(um)	Flux(W/m2/um)
6.85E-01	1414.244971
6.87E-01	1426.760414
6.89E-01	1439.275856
6.91E-01	1426.760414
6.93E-01	1414.244971
6.95E-01	1401.729529
6.97E-01	1401.729529
6.99E-01	1401.729529
7.01E-01	1364.183203
7.03E-01	1376.698645
7.05E-01	1389.214087
7.07E-01	1364.183203
7.09E-01	1364.183203
7.11E-01	1364.183203
7.13E-01	1339.152318
7.15E-01	1326.636876
7.17E-01	1339.152318
7.19E-01	1289.090549
7.21E-01	1314.121434
7.23E-01	1326.636876
7.25E-01	1326.636876
7.27E-01	1326.636876
7.29E-01	1289.090549
7.31E-01	1301.605991
7.33E-01	1301.605991
7.35E-01	1301.605991
7.37E-01	1301.605991
7.39E-01	1276.575107
7.41E-01	1242.783413
7.43E-01	1276.575107
7.45E-01	1264.059665
7.47E-01	1276.575107
7.49E-01	1264.059665
7.51E-01	1264.059665
7.53E-01	1264.059665
7.55E-01	1264.059665
7.57E-01	1251.544222
7.59E-01	1249.041134
7.61E-01	1244.034957
7.63E-01	1245.286501
7.65E-01	1245.286501
7.67E-01	1200.230909
7.69E-01	1236.525692
7.71E-01	1212.746352
7.73E-01	1217.752528
7.75E-01	1198.979365
7.77E-01	1224.01025
7.79E-01	1216.500984
7.81E-01	1208.991719
7.83E-01	1192.721644
7.85E-01	1188.967011
7.87E-01	1200.230909
7.89E-01	1190.218556
7.91E-01	1168.942304
7.93E-01	1150.16914
7.95E-01	1142.659875
7.97E-01	1167.69076
7.99E-01	1165.187671
8.01E-01	1147.666052
8.03E-01	1148.917596
8.05E-01	1135.15061
8.07E-01	1141.408331
8.09E-01	1117.628991
8.11E-01	1126.3898
8.13E-01	1131.395977
8.15E-01	1123.886712
8.17E-01	1121.383623
8.19E-01	1078.83112
8.21E-01	1088.843474
8.23E-01	1086.340385
8.25E-01	1096.352739
8.27E-01	1105.113548
8.29E-01	1096.352739
8.31E-01	1073.824943
8.33E-01	1061.309501
8.35E-01	1068.818766
8.37E-01	1072.573399
8.39E-01	1037.53016
8.41E-01	1067.567222
8.43E-01	1041.284793
8.45E-01	1056.303324
8.47E-01	1042.536337
8.49E-01	1048.794058
8.51E-01	1002.486922
8.53E-01	1043.787882
8.55E-01	976.2044935
8.57E-01	1045.039426
8.59E-01	1023.763174
8.61E-01	1020.008541
8.63E-01	1027.517807
8.65E-01	1028.769351
8.67E-01	947.4189764
8.69E-01	983.7137589
8.71E-01	1002.486922
8.73E-01	1003.738466
8.75E-01	991.2230242
8.77E-01	1001.235378
8.79E-01	991.2230242
8.81E-01	956.179786
8.83E-01	976.2044935
8.85E-01	983.7137589
8.87E-01	962.4375071
8.89E-01	982.4622146
8.91E-01	984.9653031
8.93E-01	963.6890513
8.95E-01	958.6828744
8.97E-01	961.1859629
8.99E-01	962.4375071
9.01E-01	921.1365477
9.03E-01	949.9220649
9.05E-01	963.6890513
9.07E-01	949.9220649
9.09E-01	921.1365477
9.11E-01	927.3942689
