 HC AEROSOL PARAMETERS

    Z        AERSOL     RPART      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  8.025E+06 3.512E+03 1.402E-06 1.403E+00 3.765E+05 2.789E+05 2.789E+05 8.762E+04
  8.125E+06 3.585E+03 1.345E-06 1.617E+00 3.267E+05 2.789E+05 2.789E+05 7.736E+04
  8.225E+06 3.661E+03 1.290E-06 1.862E+00 2.835E+05 2.789E+05 2.789E+05 6.823E+04
  8.325E+06 4.160E+03 1.193E-06 2.069E+00 2.552E+05 2.789E+05 2.552E+05 5.398E+04
  8.425E+06 4.791E+03 1.097E-06 2.285E+00 2.311E+05 2.789E+05 2.311E+05 4.192E+04
  8.525E+06 5.505E+03 1.004E-06 2.512E+00 2.102E+05 2.789E+05 2.102E+05 3.214E+04
  8.625E+06 6.302E+03 9.116E-07 2.740E+00 1.927E+05 2.789E+05 1.927E+05 2.409E+04
  8.725E+06 7.172E+03 8.185E-07 2.955E+00 1.787E+05 2.789E+05 1.787E+05 1.744E+04
  8.825E+06 8.100E+03 7.238E-07 3.138E+00 1.683E+05 2.789E+05 1.683E+05 1.206E+04
  8.925E+06 9.062E+03 6.283E-07 3.271E+00 1.614E+05 2.789E+05 1.614E+05 7.886E+03
  9.025E+06 1.004E+04 5.348E-07 3.344E+00 1.579E+05 2.789E+05 1.579E+05 4.862E+03
  9.125E+06 1.103E+04 4.477E-07 3.361E+00 1.571E+05 2.789E+05 1.571E+05 2.853E+03
  9.225E+06 1.206E+04 3.709E-07 3.344E+00 1.579E+05 2.789E+05 1.579E+05 1.623E+03
  9.325E+06 1.314E+04 3.058E-07 3.310E+00 1.596E+05 2.789E+05 1.596E+05 9.091E+02
  9.425E+06 1.431E+04 2.517E-07 3.270E+00 1.615E+05 2.789E+05 1.615E+05 5.067E+02
  9.525E+06 1.559E+04 2.071E-07 3.230E+00 1.635E+05 2.789E+05 1.635E+05 2.824E+02
  9.625E+06 1.698E+04 1.706E-07 3.195E+00 1.653E+05 2.789E+05 1.653E+05 1.579E+02
  9.725E+06 1.852E+04 1.408E-07 3.164E+00 1.669E+05 2.789E+05 1.669E+05 8.873E+01
  9.825E+06 1.439E+04 1.300E-07 3.507E+00 1.506E+05 2.789E+05 2.235E+05 6.985E+01
  9.925E+06 8.399E+03 1.300E-07 4.209E+00 1.255E+05 2.789E+05 3.829E+05 6.985E+01
