
    OUTPUT FILES FOR THE Sun  

 Solar Constant= 1.000   F_CH4= 1.6768E-06  F_CO2= 3.3000E-04  F_O2= 2.0714E-01  F_N2= 7.6937E-01  F_H2= 9.8637E-61  F_AR= 9.8637E-03  IO3 =  1   IUP=  1
 ICONSERV= 0  FAC= 4.0  ND=101  SRFALB= 0.320  G= 980.0  IMW= 2

 FNO2 = 1.000E-60

 NST=     1 JCONV=101 CHG=0.00E+00 dt0=1.00E+04 DIVF(1)=      NaN DIVFrms=      NaN DT(ND)=      NaN T(ND)=       NaN

 TIME= 5.000E+03  TIME IN DAYS = 5.787E-02

 PLANETARY ALBEDO:  ALBP =    NaN

  J     P         ALT         T        CONVEC       DT          TOLD        FH20       FSAVE        FO3        TCOOL       THEAT
 55 6.0776E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  1.7111E-06         NaN         NaN
 56 6.6280E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  1.5002E-06         NaN         NaN
 57 7.2203E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  1.2921E-06         NaN         NaN
 58 7.8567E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  1.0866E-06         NaN         NaN
 59 8.5397E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  8.8391E-07         NaN         NaN
 60 9.2718E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  6.8389E-07         NaN         NaN
 61 1.0055E-01        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  4.9794E-07         NaN         NaN
 62 1.0893E-01        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  4.6805E-07         NaN         NaN
 63 1.1787E-01        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  4.3858E-07         NaN         NaN
 64 1.2741E-01        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  4.0953E-07         NaN         NaN
 65 1.3756E-01        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  3.8089E-07         NaN         NaN
 66 1.4836E-01        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  3.5267E-07         NaN         NaN
 67 1.5983E-01        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  3.2486E-07         NaN         NaN
 68 1.7199E-01        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  2.9747E-07         NaN         NaN
 69 1.8487E-01        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  2.7050E-07         NaN         NaN
 70 1.9849E-01        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  2.4394E-07         NaN         NaN
 71 2.1288E-01        NaN        NaN  0.00E+00          NaN  2.0393E+02  4.0000E-06  4.0000E-06  2.1780E-07         NaN         NaN
 72 2.2806E-01        NaN        NaN  0.00E+00          NaN  2.0800E+02  4.0000E-06  4.0000E-06  1.9207E-07         NaN         NaN
 73 2.4405E-01        NaN        NaN  0.00E+00          NaN  2.1207E+02  4.0000E-06  6.9894E-06  1.6676E-07         NaN         NaN
 74 2.6087E-01        NaN        NaN  0.00E+00          NaN  2.1614E+02  4.0000E-06  1.2118E-05  1.4187E-07         NaN         NaN
 75 2.7854E-01        NaN        NaN  0.00E+00          NaN  2.2020E+02  4.0000E-06  2.0541E-05  1.1739E-07         NaN         NaN
 76 2.9708E-01        NaN        NaN  0.00E+00          NaN  2.2423E+02  4.0000E-06  3.4035E-05  9.3331E-08         NaN         NaN
 77 3.1649E-01        NaN        NaN  0.00E+00          NaN  2.2821E+02  4.0000E-06  5.5103E-05  6.9974E-08         NaN         NaN
 78 3.3680E-01        NaN        NaN  0.00E+00          NaN  2.3213E+02  4.0000E-06  8.7119E-05  6.8084E-08         NaN         NaN
 79 3.5802E-01        NaN        NaN  0.00E+00          NaN  2.3597E+02  4.0000E-06  1.3442E-04  6.6227E-08         NaN         NaN
 80 3.8014E-01        NaN        NaN  0.00E+00          NaN  2.3971E+02  4.0000E-06  2.0227E-04  6.4404E-08         NaN         NaN
 81 4.0319E-01        NaN        NaN  0.00E+00          NaN  2.4332E+02  4.0000E-06  2.9670E-04  6.2615E-08         NaN         NaN
 82 4.2715E-01        NaN        NaN  0.00E+00          NaN  2.4679E+02  4.0000E-06  4.2420E-04  6.0859E-08         NaN         NaN
 83 4.5204E-01        NaN        NaN  0.00E+00          NaN  2.5011E+02  4.0000E-06  5.9132E-04  5.9138E-08         NaN         NaN
 84 4.7784E-01        NaN        NaN  0.00E+00          NaN  2.5326E+02  4.0000E-06  8.0425E-04  5.7450E-08         NaN         NaN
