     ALT          P          T          FH2O           O3           THEAT        TCOOL        PSATCO2        FCO2
       NaN  3.8014E-01        NaN    4.0000E-06    6.4404E-08           NaN           NaN           NaN    3.3000E-04
       NaN  4.0319E-01        NaN    4.0000E-06    6.2615E-08           NaN           NaN           NaN    3.3000E-04
       NaN  4.2715E-01        NaN    4.0000E-06    6.0859E-08           NaN           NaN           NaN    3.3000E-04
       NaN  4.5204E-01        NaN    4.0000E-06    5.9138E-08           NaN           NaN           NaN    3.3000E-04
       NaN  4.7784E-01        NaN    4.0000E-06    5.7450E-08           NaN           NaN           NaN    3.3000E-04
       NaN  5.0455E-01        NaN    4.0000E-06    5.5797E-08           NaN           NaN           NaN    3.3000E-04
       NaN  5.3217E-01        NaN    4.0000E-06    5.4177E-08           NaN           NaN           NaN    3.3000E-04
       NaN  5.6067E-01        NaN    4.0000E-06    5.2591E-08           NaN           NaN           NaN    3.3000E-04
       NaN  5.9003E-01        NaN    4.0000E-06    5.1039E-08           NaN           NaN           NaN    3.3000E-04
       NaN  6.2025E-01        NaN    4.0000E-06    4.9520E-08           NaN           NaN           NaN    3.3000E-04
       NaN  6.5129E-01        NaN    4.0000E-06    4.8036E-08           NaN           NaN           NaN    3.3000E-04
       NaN  6.8312E-01        NaN    4.0000E-06    4.6585E-08           NaN           NaN           NaN    3.3000E-04
       NaN  7.1570E-01        NaN    4.0000E-06    4.5169E-08           NaN           NaN           NaN    3.3000E-04
       NaN  7.4901E-01        NaN    4.0000E-06    4.3786E-08           NaN           NaN           NaN    3.3000E-04
       NaN  7.8299E-01        NaN    4.0000E-06    4.2437E-08           NaN           NaN           NaN    3.3000E-04
       NaN  8.1760E-01        NaN    4.0000E-06    4.1122E-08           NaN           NaN           NaN    3.3000E-04
       NaN  8.5280E-01        NaN    4.0000E-06    3.9841E-08           NaN           NaN           NaN    3.3000E-04
       NaN  8.8852E-01        NaN    4.0000E-06    3.8593E-08           NaN           NaN           NaN    3.3000E-04
       NaN  9.2470E-01        NaN    4.0000E-06    3.7380E-08           NaN           NaN           NaN    3.3000E-04
       NaN  9.6128E-01        NaN    4.0000E-06    3.6200E-08           NaN           NaN           NaN    3.3000E-04
       NaN  9.9821E-01        NaN    4.0000E-06    3.5055E-08           NaN           NaN           NaN    3.3000E-04
0.0000E+00  1.0169E+00        NaN    4.0000E-06    3.4490E-08    0.0000E+00    0.0000E+00           NaN    3.3000E-04
