
    OUTPUT FILES FOR THE Sun  

 Solar Constant= 0.813   F_CH4= 2.9161E-03  F_CO2= 2.0000E-02  F_O2= 9.7205E-09  F_N2= 9.5261E-01  F_H2= 1.1237E-04  F_AR= 9.7205E-03  IO3 =  1   IUP=  1
 ICONSERV= 0  FAC= 4.0  ND=101  SRFALB= 0.320  G= 980.0  IMW= 2

 FNO2 = 1.241E-71

 NST=     1 JCONV= 26 CHG=1.87E-03 dt0=7.50E+03 DIVF(1)=-1.40E-03 DIVFrms= 8.77E-04 DT(ND)=-3.91E-02 T(ND)=2.7996E+02

 TIME= 5.000E+03  TIME IN DAYS = 5.787E-02

 PLANETARY ALBEDO:  ALBP = 0.2659

  J     P         ALT         T        CONVEC       DT          TOLD        FH20       FSAVE        FO3        TCOOL       THEAT
 55 6.0490E-02 1.8629E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  5.1381E-08  4.0000E-06  1.3411E-12 -5.6170E-01  1.1408E+00
 56 6.5965E-02 1.8108E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  5.2772E-08  4.0000E-06  1.0551E-12 -5.2044E-01  1.0994E+00
 57 7.1855E-02 1.7594E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  5.3600E-08  4.0000E-06  8.4361E-13 -4.7585E-01  1.0605E+00
 58 7.8183E-02 1.7087E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  5.3566E-08  4.0000E-06  6.7604E-13 -4.2912E-01  1.0239E+00
 59 8.4975E-02 1.6586E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  5.2511E-08  4.0000E-06  5.4395E-13 -3.8210E-01  9.8942E-01
 60 9.2254E-02 1.6092E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  5.0387E-08  4.0000E-06  4.3528E-13 -3.3672E-01  9.5823E-01
 61 1.0004E-01 1.5605E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.7336E-08  4.0000E-06  3.4350E-13 -3.1483E-01  9.2591E-01
 62 1.0837E-01 1.5125E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.3564E-08  4.0000E-06  2.6324E-13 -2.0184E-01  8.6756E-01
 63 1.1726E-01 1.4652E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  3.9837E-08  4.0000E-06  1.9201E-13 -1.4747E-01  8.1504E-01
 64 1.2674E-01 1.4185E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  3.6426E-08  4.0000E-06  1.3146E-13 -1.0569E-01  7.6735E-01
 65 1.3683E-01 1.3725E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  3.3243E-08  4.0000E-06  8.3288E-14 -6.9405E-02  7.2379E-01
 66 1.4757E-01 1.3272E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  3.0200E-08  4.0000E-06  5.0845E-14 -3.5670E-02  6.8384E-01
 67 1.5896E-01 1.2825E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  2.7670E-08  4.0000E-06  3.2277E-14 -2.5256E-03  6.4707E-01
 68 1.7105E-01 1.2385E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  2.5728E-08  4.0000E-06  2.2126E-14  3.1781E-02  6.1316E-01
 69 1.8385E-01 1.1952E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  2.4343E-08  4.0000E-06  1.6281E-14  6.9016E-02  5.8179E-01
 70 1.9739E-01 1.1526E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  2.3785E-08  4.0000E-06  1.2499E-14  1.1153E-01  5.5268E-01
 71 2.1169E-01 1.1106E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  2.4700E-08  4.0000E-06  9.6682E-15  1.6547E-01  5.2560E-01
 72 2.2677E-01 1.0694E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  2.8026E-08  4.0000E-06  7.1056E-15  2.6843E-01  5.0032E-01
 73 2.4266E-01 1.0287E+01 2.0038E+02  0.00E+00  -3.9123E-02  2.0000E+02  2.4112E-06  4.0000E-06  3.7482E-15  3.3764E-01  4.7692E-01
 74 2.5937E-01 9.8857E+00 2.0163E+02  1.00E+00  -3.9123E-02  2.0167E+02  4.0000E-06  4.0000E-06  1.8770E-15  2.2033E-01  4.5716E-01
 75 2.7692E-01 9.4859E+00 2.0549E+02  1.00E+00  -3.9123E-02  2.0553E+02  4.0000E-06  2.8342E-06  9.2444E-16  4.1296E-03  4.4162E-01
 76 2.9534E-01 9.0856E+00 2.0935E+02  1.00E+00  -3.9123E-02  2.0939E+02  4.9092E-06  4.9361E-06  4.4776E-16 -2.2459E-01  4.2827E-01
