CH2CCH2
Air:  
Temp:           100K            300K            1000K 
Angstroms       XS
1.760000E+03    2.692720E-17    2.840890E-17    2.958350E-17
1.770000E+03    1.980760E-17    2.062670E-17    2.174460E-17
1.780000E+03    1.315560E-17    1.390120E-17    1.500550E-17
1.790000E+03    1.102880E-17    1.152430E-17    1.241020E-17
1.800000E+03    9.612640E-18    9.984690E-18    1.076250E-17
1.810000E+03    9.286470E-18    9.590830E-18    1.031140E-17
1.820000E+03    9.739290E-18    9.928500E-18    1.060250E-17
1.830000E+03    1.019730E-17    1.033200E-17    1.093700E-17
1.840000E+03    1.098090E-17    1.086390E-17    1.133820E-17
1.850000E+03    9.320330E-18    9.630390E-18    1.014780E-17
1.860000E+03    7.777340E-18    7.992030E-18    8.646420E-18
1.870000E+03    5.737360E-18    6.156410E-18    6.775920E-18
1.880000E+03    4.057430E-18    4.335150E-18    4.925850E-18
1.890000E+03    3.562470E-18    3.740730E-18    4.151420E-18
1.900000E+03    2.211420E-18    2.471590E-18    2.889490E-18
1.910000E+03    2.137310E-18    2.211600E-18    2.493560E-18
1.920000E+03    1.735450E-18    1.853690E-18    2.055440E-18
1.930000E+03    1.542220E-18    1.608280E-18    1.760740E-18
1.940000E+03    1.429880E-18    1.485710E-18    1.570080E-18
1.950000E+03    1.349010E-18    1.388730E-18    1.451460E-18
1.960000E+03    1.283760E-18    1.316800E-18    1.369160E-18
1.970000E+03    1.217290E-18    1.249870E-18    1.304740E-18
1.980000E+03    1.167040E-18    1.194910E-18    1.247750E-18
1.990000E+03    1.120620E-18    1.150710E-18    1.199530E-18
2.000000E+03    1.053050E-18    1.094660E-18    1.144170E-18
2.010000E+03    1.006190E-18    1.047140E-18    1.098630E-18
2.020000E+03    9.716310E-19    1.010020E-18    1.059060E-18
2.030000E+03    9.065650E-19    9.558070E-19    1.004170E-18
2.040000E+03    8.341540E-19    8.932130E-19    9.452180E-19
2.050000E+03    7.958560E-19    8.516720E-19    9.016080E-19
2.060000E+03    7.615010E-19    8.157220E-19    8.604210E-19
2.070000E+03    6.935490E-19    7.590760E-19    8.096910E-19
2.080000E+03    6.258320E-19    7.018450E-19    7.502520E-19
2.090000E+03    5.926300E-19    6.649650E-19    7.106610E-19
2.100000E+03    5.561560E-19    6.200350E-19    6.732140E-19
2.110000E+03    5.115920E-19    5.743130E-19    6.300150E-19
2.120000E+03    4.592420E-19    5.269550E-19    5.866280E-19
2.130000E+03    4.263890E-19    4.962130E-19    5.541000E-19
2.140000E+03    3.970310E-19    4.653670E-19    5.231550E-19
2.150000E+03    3.623180E-19    4.289210E-19    4.890560E-19
2.160000E+03    3.324510E-19    3.999760E-19    4.595220E-19
2.170000E+03    3.016950E-19    3.717680E-19    4.314660E-19
2.180000E+03    2.749850E-19    3.425650E-19    4.020400E-19
2.190000E+03    2.457570E-19    3.105330E-19    3.689810E-19
2.200000E+03    2.142950E-19    2.793170E-19    3.376160E-19
2.210000E+03    1.842040E-19    2.504410E-19    3.074030E-19
2.220000E+03    1.576540E-19    2.219370E-19    2.780510E-19
2.230000E+03    1.324470E-19    1.921280E-19    2.473990E-19
2.240000E+03    1.071980E-19    1.624520E-19    2.169990E-19
2.250000E+03    8.756360E-20    1.391310E-19    1.906930E-19
2.260000E+03    6.744590E-20    1.157290E-19    1.650310E-19
2.270000E+03    5.321840E-20    9.594480E-20    1.421300E-19
2.280000E+03    3.863990E-20    7.667850E-20    1.184430E-19
2.290000E+03    3.068880E-20    6.208240E-20    9.878390E-20
2.300000E+03    2.329980E-20    4.926610E-20    8.074630E-20
2.310000E+03    1.973100E-20    4.018560E-20    6.867040E-20
2.320000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.330000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.340000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.350000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.360000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.370000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.380000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.390000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.400000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.410000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.420000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.430000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.440000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.450000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.460000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.470000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.480000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.490000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.500000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.510000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.520000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.530000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.540000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.550000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.560000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.570000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.580000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.590000E+03    1.423610E-20    3.123430E-20    5.681230E-20
2.600000E+03    1.423610E-20    3.123430E-20    5.681230E-20
