#NUMBER OF AGES= 1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2696 1.6115E-02 1.6115E-02   0.00   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 4.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51
  96  1.093747  3.7917  4.3317  0.2663  4.6762  4.6387  4.1000  3.7886  3.4999  3.1266  2.8682  2.8404  3.8999  4.2314
  97  1.095362  3.7921  4.3294  0.2711  4.6606  4.6254  4.0876  3.7768  3.4887  3.1163  2.8588  2.8309  3.8880  4.2186
  98  1.097067  3.7927  4.3270  0.2759  4.6450  4.6120  4.0750  3.7647  3.4770  3.1057  2.8492  2.8212  3.8758  4.2056
  99  1.098934  3.7931  4.3245  0.2810  4.6288  4.5981  4.0619  3.7523  3.4649  3.0947  2.8392  2.8111  3.8630  4.1920
 100  1.101051  3.7935  4.3218  0.2862  4.6120  4.5835  4.0480  3.7389  3.4520  3.0828  2.8283  2.8002  3.8496  4.1778
 101  1.103568  3.7940  4.3189  0.2921  4.5939  4.5677  4.0328  3.7242  3.4378  3.0698  2.8162  2.7880  3.8348  4.1622
 102  1.106721  3.7944  4.3153  0.2989  4.5736  4.5496  4.0153  3.7073  3.4213  3.0544  2.8020  2.7736  3.8177  4.1443
 103  1.111074  3.7950  4.3106  0.3075  4.5488  4.5271  3.9931  3.6857  3.4003  3.0347  2.7834  2.7549  3.7960  4.1218
 104  1.119111  3.7956  4.3010  0.3223  4.5081  4.4886  3.9553  3.6487  3.3639  2.9995  2.7494  2.7208  3.7588  4.0834
 105  1.207201  3.7932  4.1563  0.4899  4.0879  4.0589  3.5406  3.2347  2.9494  2.5794  2.3254  2.2976  3.3435  3.6672
 106  1.208691  3.7936  4.1531  0.4948  4.0741  4.0459  3.5275  3.2221  2.9372  2.5679  2.3146  2.2868  3.3308  3.6541
 107  1.210084  3.7940  4.1503  0.4997  4.0603  4.0331  3.5144  3.2095  2.9251  2.5568  2.3044  2.2766  3.3182  3.6406
 108  1.211263  3.7942  4.1473  0.5043  4.0480  4.0215  3.5024  3.1980  2.9140  2.5463  2.2945  2.2666  3.3066  3.6285
 109  1.212265  3.7946  4.1450  0.5086  4.0358  4.0102  3.4906  3.1867  2.9032  2.5365  2.2855  2.2577  3.2952  3.6164
 110  1.213223  3.7950  4.1425  0.5129  4.0240  3.9992  3.4790  3.1756  2.8927  2.5270  2.2768  2.2489  3.2841  3.6046
 111  1.214122  3.7954  4.1403  0.5172  4.0124  3.9883  3.4675  3.1647  2.8823  2.5176  2.2682  2.2403  3.2731  3.5929
 112  1.215316  3.7961  4.1370  0.5236  3.9945  3.9720  3.4500  3.1483  2.8668  2.5036  2.2557  2.2277  3.2565  3.5751
 113  1.216309  3.7968  4.1339  0.5297  3.9771  3.9560  3.4330  3.1321  2.8516  2.4900  2.2435  2.2155  3.2403  3.5577
 114  1.217202  3.7975  4.1310  0.5359  3.9595  3.9399  3.4160  3.1162  2.8367  2.4767  2.2318  2.2038  3.2242  3.5403
 115  1.217992  3.7982  4.1281  0.5419  3.9399  3.9224  3.3999  3.1012  2.8229  2.4646  2.2211  2.1932  3.2090  3.5235
 116  1.218673  3.7989  4.1252  0.5478  3.9196  3.9046  3.3842  3.0868  2.8096  2.4531  2.2110  2.1831  3.1941  3.5071
 117  1.219295  3.7996  4.1223  0.5537  3.8994  3.8867  3.3686  3.0727  2.7966  2.4418  2.2011  2.1734  3.1796  3.4909
 118  1.219883  3.8003  4.1195  0.5594  3.8792  3.8689  3.3534  3.0588  2.7838  2.4306  2.1913  2.1639  3.1652  3.4750
 119  1.220416  3.8009  4.1167  0.5651  3.8593  3.8512  3.3385  3.0451  2.7713  2.4196  2.1818  2.1544  3.1510  3.4593
 120  1.220889  3.8016  4.1137  0.5707  3.8398  3.8338  3.3239  3.0317  2.7590  2.4089  2.1723  2.1451  3.1372  3.4439
 121  1.221318  3.8022  4.1108  0.5762  3.8206  3.8167  3.3096  3.0185  2.7468  2.3982  2.1628  2.1358  3.1237  3.4289
 122  1.221707  3.8027  4.1076  0.5816  3.8023  3.8001  3.2955  3.0056  2.7349  2.3876  2.1534  2.1264  3.1103  3.4143
 123  1.222080  3.8033  4.1045  0.5870  3.7842  3.7835  3.2816  2.9927  2.7230  2.3769  2.1438  2.1169  3.0971  3.3997
 124  1.222438  3.8037  4.1012  0.5923  3.7667  3.7674  3.2679  2.9800  2.7111  2.3663  2.1341  2.1073  3.0839  3.3855
 125  1.222795  3.8042  4.0978  0.5976  3.7496  3.7515  3.2543  2.9674  2.6992  2.3555  2.1242  2.0975  3.0709  3.3714
 126  1.223169  3.8046  4.0943  0.6030  3.7331  3.7360  3.2408  2.9547  2.6872  2.3443  2.1139  2.0873  3.0579  3.3573
 127  1.223616  3.8048  4.0901  0.6083  3.7180  3.7212  3.2271  2.9416  2.6747  2.3325  2.1026  2.0762  3.0446  3.3434
 128  1.224324  3.8046  4.0842  0.6139  3.7057  3.7076  3.2132  2.9275  2.6605  2.3179  2.0878  2.0613  3.0306  3.3296
 129  1.226008  3.8039  4.0750  0.6203  3.6974  3.6953  3.1977  2.9108  2.6426  2.2980  2.0662  2.0396  3.0143  3.3149
 130  1.229198  3.8032  4.0666  0.6273  3.6867  3.6812  3.1808  2.8928  2.6237  2.2774  2.0444  2.0178  2.9967  3.2986
 131  1.232642  3.8027  4.0585  0.6346  3.6734  3.6651  3.1629  2.8741  2.6044  2.2569  2.0230  1.9962  2.9783  3.2811
 132  1.235984  3.8024  4.0511  0.6420  3.6580  3.6479  3.1445  2.8554  2.5855  2.2371  2.0026  1.9758  2.9597  3.2631
 133  1.239100  3.8022  4.0441  0.6492  3.6421  3.6305  3.1265  2.8373  2.5672  2.2184  1.9835  1.9567  2.9417  3.2453
