
Int #22
 T=112K
  1.00000E-02  1.29826E-01  6.86482E-01  3.22239E+00  1.75979E+01  1.14507E+02  1.16012E+03
  1.00000E-01  1.25045E+00  5.39661E+00  1.87074E+01  6.25087E+01  2.30687E+02  1.07344E+03
  1.00000E+00  4.78600E+00  1.19183E+01  3.46689E+01  9.64224E+01  2.98261E+02  1.00161E+03
 T=188K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  3.63046E-03  1.74384E-02  9.78824E-02  8.82929E+00  2.58180E+02  1.87584E+03
  1.00000E-03  3.78282E-02  1.80292E-01  8.79542E-01  1.58719E+01  2.51757E+02  2.11865E+03
  1.00000E-02  3.88181E-01  1.82924E+00  6.80381E+00  3.58466E+01  3.01565E+02  1.78334E+03
  1.00000E-01  3.72294E+00  1.56171E+01  4.78352E+01  1.38726E+02  4.04998E+02  1.53384E+03
  1.00000E+00  1.79669E+01  4.47953E+01  1.08840E+02  2.26893E+02  4.73548E+02  1.08194E+03
 T=295K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  4.62775E-03  2.19059E-02  1.52811E-01  3.45484E+01  4.06849E+02  2.01302E+03
  1.00000E-03  4.62284E-02  2.08565E-01  1.05791E+00  3.14079E+01  3.97124E+02  2.13617E+03
  1.00000E-02  4.79650E-01  1.92750E+00  7.86092E+00  5.83605E+01  4.27999E+02  1.96391E+03
  1.00000E-01  4.72619E+00  1.83060E+01  5.46173E+01  1.54238E+02  4.70169E+02  1.55474E+03
  1.00000E+00  2.53318E+01  6.55909E+01  1.42280E+02  2.70744E+02  4.99609E+02  1.00166E+03

Int #29
 T=112K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  1.79626E-07  1.28518E-05  1.38646E-04  6.47045E-04  2.50121E-02  1.05848E+01
  1.00000E-03  1.79382E-06  1.28314E-04  1.31118E-03  6.20780E-03  7.00949E-02  1.09207E+01
  1.00000E-02  1.78909E-05  1.27458E-03  1.35394E-02  6.18794E-02  4.99950E-01  1.19267E+01
  1.00000E-01  1.78836E-04  1.27770E-02  1.30742E-01  5.17072E-01  2.10429E+00  1.28104E+01
  1.00000E+00  1.83188E-03  1.05817E-01  5.45267E-01  1.40543E+00  3.57473E+00  9.11484E+00
 T=188K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  2.73172E-06  4.77544E-05  3.63847E-04  1.70353E-03  2.75012E-01  4.20297E+01
  1.00000E-03  2.73659E-05  4.74075E-04  3.73727E-03  1.68780E-02  5.46523E-01  3.76699E+01
  1.00000E-02  2.71202E-04  4.74689E-03  3.81962E-02  1.69673E-01  1.71346E+00  3.86950E+01
  1.00000E-01  2.68253E-03  4.71885E-02  3.81132E-01  1.53165E+00  6.64173E+00  3.42624E+01
  1.00000E+00  2.71442E-02  4.35290E-01  2.25179E+00  4.64585E+00  9.11170E+00  2.01782E+01
 T=295K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  6.99731E-06  6.03735E-05  4.47723E-04  2.18467E-03  1.27451E+00  6.56276E+01
  1.00000E-03  7.06270E-05  6.10525E-04  4.25199E-03  2.06321E-02  1.72635E+00  6.38610E+01
  1.00000E-02  7.02846E-04  6.07568E-03  4.33284E-02  2.10920E-01  3.26350E+00  6.47529E+01
  1.00000E-01  7.04911E-03  6.13850E-02  4.28978E-01  1.87127E+00  9.98443E+00  5.25230E+01
  1.00000E+00  6.87279E-02  6.06430E-01  3.09698E+00  7.16399E+00  1.35539E+01  2.94102E+01

Int #30
 T=112K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  4.45542E-08  6.36437E-07  5.68408E-06  1.47959E-04  1.55380E-02  4.44097E+01
  1.00000E-03  4.45338E-07  6.33929E-06  5.62659E-05  1.49506E-03  1.50402E-01  4.62489E+01
  1.00000E-02  4.44472E-06  6.36217E-05  5.72817E-04  1.46944E-02  1.54257E+00  1.72361E+02
  1.00000E-01  4.44448E-05  6.33053E-04  5.58671E-03  1.29998E-01  1.16765E+01  6.56584E+02
  1.00000E+00  4.44004E-04  5.40056E-03  4.61325E-02  7.79228E-01  4.52083E+01  7.99652E+02
 T=188K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  7.21528E-07  3.47958E-06  2.28806E-05  1.24900E-03  4.44557E-02  3.43013E+02
  1.00000E-03  7.26167E-06  3.49178E-05  2.29682E-04  1.28510E-02  4.49650E-01  3.42699E+02
  1.00000E-02  7.23723E-05  3.47700E-04  2.28600E-03  1.27714E-01  4.67748E+00  5.87998E+02
  1.00000E-01  7.11551E-04  3.46166E-03  2.30693E-02  1.24056E+00  3.91818E+01  1.22181E+03
  1.00000E+00  7.14037E-03  3.42011E-02  2.15542E-01  6.48001E+00  1.81183E+02  1.38135E+03
 T=295K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  6.69093E-07  3.88268E-06  4.54275E-05  4.30101E-03  8.03748E-02  8.44528E+02
  1.00000E-03  6.75453E-06  3.89115E-05  4.57151E-04  4.32449E-02  8.02414E-01  1.05637E+03
  1.00000E-02  6.71472E-05  3.90263E-04  4.54290E-03  4.23484E-01  7.74208E+00  1.25157E+03
  1.00000E-01  6.73937E-04  3.88731E-03  4.54091E-02  4.11905E+00  6.81352E+01  1.90659E+03
  1.00000E+00  6.58808E-03  3.91794E-02  4.36568E-01  2.95263E+01  2.72658E+02  2.12904E+03

Int #31
 T=112K
