    SIZE INTERVAL   1
   WAVl        QEXT      W0      gf
     1.6300      2.8111264e-06      2.8114912e-05     3.3217821e-06
     1.7700      2.5520021e-06      2.1738039e-05     2.7187392e-06
     1.9400      3.5298421e-06      1.0552209e-05     1.6351039e-06
     2.1100      4.2742583e-06      6.2364662e-06     1.3852115e-06
     2.3400      4.0238637e-06      4.2937243e-06     1.1182407e-06
     2.5700      1.0486160e-05      1.0955522e-06     9.2302051e-07
     2.7900      7.5545268e-05      1.0177400e-07     7.6256483e-07
     3.0800      2.5453413e-04      2.2836333e-08     6.4341237e-07
     3.4100      1.2847494e-04      3.2009775e-08     5.3547952e-07
     3.7900      5.0366236e-05      5.2822340e-08     4.3312751e-07
     4.0900      3.1266049e-05      6.1003119e-08     3.6880330e-07
     4.3600      2.8033438e-05      5.0212745e-08     3.1995068e-07
    SIZE INTERVAL   11
   WAVl        QEXT      W0      gf
     0.2563      1.6020831e-02      1.4906745e-04     5.2065530e-04
     0.2795      1.2927767e-02      1.2582088e-04     4.3780680e-04
     0.2965      1.1141128e-02      1.1072622e-04     3.8393510e-04
     0.3186      9.4795509e-03      9.3871524e-05     3.3200874e-04
     0.3355      8.2761055e-03      8.5100734e-05     2.9789163e-04
     0.3650      6.3806890e-03      7.8536311e-05     2.5228569e-04
     0.4200      3.6893875e-03      8.7026291e-05     1.9569821e-04
     0.4950      1.7141940e-03      1.0229038e-04     1.4792543e-04
     0.5448      1.0518091e-03      1.0973177e-04     1.1944128e-04
     0.5581      9.2317829e-04      1.1180914e-04     1.1183406e-04
     0.5858      7.1406769e-04      1.1876777e-04     1.0221754e-04
     0.6150      5.4676055e-04      1.2726324e-04     9.3669820e-05
     0.6459      4.1219707e-04      1.3691600e-04     8.4624456e-05
     0.6790      3.0456308e-04      1.4806964e-04     7.4935087e-05
     0.7210      2.1349946e-04      1.6610303e-04     6.7234631e-05
     0.7680      1.4487784e-04      1.8990282e-04     6.0182146e-05
     0.8130      9.9947713e-05      2.1587912e-04     5.3429766e-05
     0.8670      6.4017388e-05      2.5178259e-04     4.5326910e-05
     0.9260      4.1745578e-05      2.9583499e-04     4.0052275e-05
     1.0000      2.4628135e-05      3.6178069e-04     3.3954181e-05
     1.0500      1.8979854e-05      3.8571959e-04     3.0813709e-05
     1.1000      1.5303241e-05      3.9756109e-04     2.8134351e-05
     1.1700      1.1009469e-05      4.2913072e-04     2.4636023e-05
     1.2500      8.6559149e-06      4.1826656e-04     2.1774673e-05
     1.3700      6.8085103e-06      3.5995058e-04     1.7864805e-05
     1.5000      6.1523508e-06      2.8551978e-04     1.5526986e-05
     1.6300      5.6236311e-06      2.2486603e-04     1.3287118e-05
     1.7700      5.1049405e-06      1.7387359e-04     1.0874952e-05
     1.9400      7.0603809e-06      8.4409791e-05     8.9005499e-06
     2.1100      8.5490607e-06      4.9888781e-05     7.5402530e-06
     2.3400      8.0480905e-06      3.4348366e-05     6.0953372e-06
