# 
# HITRAN 2016, longwave, created with HELIOS-K by Eric T. Wolf
# Interval    (1= 0-40 cm-1, 2 = 40-100 cm-1, ......, 55 = 14470 - 150000 cm-1)
# Temperature (100,150,200,250,300,350,400,600)
# P(bar)    K1  K2 ....K8 (cm^2/molecule)
 
Quadrature weights w(quad)        Quadrature abscissas (g) 
   1.65231051440290516E-01           6.59602519928250280E-02
   3.09768948559709378E-01           3.13509004297193250E-01
   3.09768948559709378E-01           6.36490995702806650E-01
   1.65231051440290516E-01           8.84039748007174886E-01
   8.69637112843634277E-03           9.53471592210148655E-01
   1.63036288715636482E-02           9.66500473910378632E-01
   1.63036288715636482E-02           9.83499526089621323E-01
   8.69637112843634277E-03           9.96528407789851300E-01
!-------------------------------------------------------------------------------------------------------------------------- 
 
  1.00000   2.24276E-21 1.00081E-20 3.75735E-20 1.88682E-19 5.00444E-19 6.11346E-19 8.99586E-19 2.01334E-18
 10.00000   1.50766E-20 4.45781E-20 1.00244E-19 1.70408E-19 2.65982E-19 3.18529E-19 3.62517E-19 3.98763E-19
100.00000   2.18447E-20 3.87775E-20 6.48387E-20 1.04568E-19 1.18381E-19 1.20367E-19 1.22438E-19 1.23483E-19
 
          2
          400.0
  0.00001   1.95564E-26 9.36699E-26 4.19117E-25 4.73486E-24 2.58080E-23 5.58371E-23 2.90199E-22 1.32736E-17
  0.00010   1.95301E-25 9.34552E-25 4.14382E-24 4.55959E-23 2.44704E-22 5.17984E-22 2.37169E-21 1.27442E-17
  0.00100   1.95194E-24 9.32284E-24 4.11660E-23 4.43448E-22 2.33789E-21 4.81190E-21 2.18307E-20 9.93880E-18
  0.01000   1.94871E-23 9.27606E-23 4.07775E-22 4.30360E-21 2.23731E-20 4.44977E-20 1.90651E-19 7.96152E-18
  0.10000   1.93079E-22 9.12369E-22 3.90172E-21 3.57838E-20 1.70937E-19 3.18655E-19 1.02791E-18 5.00692E-18
  1.00000   1.79903E-21 8.02816E-21 3.04718E-20 1.57066E-19 4.15122E-19 5.17822E-19 7.52239E-19 1.65962E-18
 10.00000   1.17641E-20 3.71744E-20 8.35713E-20 1.40187E-19 2.21717E-19 2.72582E-19 3.08671E-19 3.45478E-19
100.00000   1.83970E-20 3.38414E-20 5.70904E-20 9.21809E-20 1.06120E-19 1.08375E-19 1.10784E-19 1.12072E-19
 
          2
          600.0
  0.00001   1.01123E-26 5.29681E-26 2.46921E-25 3.02983E-24 1.79317E-23 3.97993E-23 2.42435E-22 5.66473E-18
  0.00010   1.00865E-25 5.27698E-25 2.42618E-24 2.81307E-23 1.58337E-22 3.24325E-22 1.59715E-21 5.59245E-18
  0.00100   1.00756E-24 5.26144E-24 2.39149E-23 2.66472E-22 1.40455E-21 2.86799E-21 1.34303E-20 5.14254E-18
  0.01000   1.00459E-23 5.22634E-23 2.35076E-22 2.49349E-21 1.30060E-20 2.50508E-20 1.07710E-19 4.57964E-18
  0.10000   9.81264E-23 5.04984E-22 2.17624E-21 2.01503E-20 9.05749E-20 1.61799E-19 5.40607E-19 2.81314E-18
  1.00000   8.87503E-22 4.26238E-21 1.54795E-20 8.46918E-20 2.30907E-19 3.05691E-19 4.46399E-19 8.91619E-19
 10.00000   5.27096E-21 1.98036E-20 4.61509E-20 7.75829E-20 1.33792E-19 1.55796E-19 1.78729E-19 2.07508E-19
100.00000   1.00682E-20 2.06059E-20 3.66271E-20 5.77364E-20 6.94500E-20 7.18945E-20 7.45594E-20 7.60280E-20
 
          3
          100.0
  0.00001   1.08510E-25 2.90467E-25 1.15273E-24 1.38104E-23 6.89645E-23 1.38539E-22 6.75356E-22 2.29200E-19
  0.00010   1.08454E-24 2.90397E-24 1.15083E-23 1.37564E-22 6.85970E-22 1.37693E-21 6.73977E-21 1.41588E-18
  0.00100   1.08439E-23 2.90311E-23 1.14896E-22 1.37276E-21 6.85912E-21 1.37174E-20 6.61948E-20 1.05863E-17
  0.01000   1.08424E-22 2.90097E-22 1.14404E-21 1.36109E-20 6.73151E-20 1.34285E-19 6.08169E-19 2.79024E-17
  0.10000   1.08197E-21 2.88308E-21 1.12634E-20 1.23596E-19 5.55921E-19 1.00431E-18 3.48791E-18 2.28075E-17
  1.00000   1.06396E-20 2.75158E-20 9.67228E-20 5.97745E-19 1.74710E-18 2.26188E-18 3.40484E-18 6.82249E-18
 10.00000   8.41103E-20 1.57020E-19 2.75089E-19 5.24203E-19 8.32952E-19 9.55818E-19 1.08755E-18 1.14276E-18
100.00000   6.64303E-20 7.55707E-20 9.27285E-20 1.01452E-19 1.04714E-19 1.07219E-19 1.10491E-19 1.12772E-19
 
          3
          150.0
  0.00001   1.10921E-25 2.81760E-25 1.35242E-24 1.59483E-23 8.02470E-23 1.62172E-22 7.72303E-22 1.18366E-18
  0.00010   1.10835E-24 2.81490E-24 1.34691E-23 1.57200E-22 7.86322E-22 1.58942E-21 7.59317E-21 2.17390E-18
  0.00100   1.10801E-23 2.81134E-23 1.34043E-22 1.56348E-21 7.84904E-21 1.58586E-20 7.45314E-20 1.14431E-17
  0.01000   1.10763E-22 2.80426E-22 1.33445E-21 1.54862E-20 7.69574E-20 1.54013E-19 6.90209E-19 2.77698E-17
  0.10000   1.10659E-21 2.78819E-21 1.30424E-20 1.39199E-19 6.29596E-19 1.13284E-18 3.82109E-18 2.36722E-17
  1.00000   1.08604E-20 2.66095E-20 1.07653E-19 6.49070E-19 1.72516E-18 2.32472E-18 3.69353E-18 7.07015E-18
 10.00000   8.68292E-20 1.65987E-19 2.95682E-19 5.32503E-19 8.74632E-19 1.04697E-18 1.25864E-18 1.36422E-18
100.00000   1.02925E-19 1.17709E-19 1.40203E-19 1.56035E-19 1.59545E-19 1.59893E-19 1.60179E-19 1.60285E-19
 
          3
          200.0
  0.00001   9.53003E-26 2.59368E-25 1.42387E-24 1.62083E-23 8.45769E-23 1.68581E-22 8.19967E-22 2.96919E-18
  0.00010   9.52445E-25 2.58910E-24 1.41772E-23 1.58510E-22 8.09881E-22 1.61934E-21 7.64086E-21 3.67387E-18
  0.00100   9.51993E-24 2.58513E-23 1.41185E-22 1.56221E-21 7.95432E-21 1.57753E-20 7.40131E-20 1.04676E-17
  0.01000   9.51461E-23 2.57862E-22 1.39949E-21 1.53547E-20 7.80759E-20 1.54954E-19 6.87012E-19 2.53552E-17
  0.10000   9.50948E-22 2.55370E-21 1.36248E-20 1.37724E-19 6.24969E-19 1.11348E-18 3.63684E-18 2.22514E-17
  1.00000   9.37558E-21 2.42591E-20 1.07748E-19 6.30532E-19 1.64529E-18 2.14608E-18 3.52642E-18 6.41907E-18
 10.00000   7.67957E-20 1.54148E-19 2.92714E-19 5.19570E-19 7.61744E-19 9.30291E-19 1.17032E-18 1.31237E-18
100.00000   1.12194E-19 1.35535E-19 1.61527E-19 1.82049E-19 1.88596E-19 1.89160E-19 1.89638E-19 1.89807E-19
 
          3
          250.0
  0.00001   8.05363E-26 2.42693E-25 1.38350E-24 1.57193E-23 8.40035E-23 1.66265E-22 8.38591E-22 4.75185E-18
  0.00010   8.04679E-25 2.41798E-24 1.37234E-23 1.53851E-22 8.17171E-22 1.57672E-21 7.55424E-21 5.23838E-18
  0.00100   8.04214E-24 2.41027E-23 1.36621E-22 1.50916E-21 7.91491E-21 1.53144E-20 6.92423E-20 1.00339E-17
