# 
# HITRAN 2016, longwave, created with HELIOS-K by Eric T. Wolf
# Interval    (1= 0-40 cm-1, 2 = 40-100 cm-1, ......, 55 = 14470 - 150000 cm-1)
# Temperature (100,150,200,250,300,350,400,600)
# P(bar)    K1  K2 ....K8 (cm^2/molecule)
 
Quadrature weights w(quad)        Quadrature abscissas (g) 
   1.65231051440290516E-01           6.59602519928250280E-02
   3.09768948559709378E-01           3.13509004297193250E-01
   3.09768948559709378E-01           6.36490995702806650E-01
   1.65231051440290516E-01           8.84039748007174886E-01
   8.69637112843634277E-03           9.53471592210148655E-01
   1.63036288715636482E-02           9.66500473910378632E-01
   1.63036288715636482E-02           9.83499526089621323E-01
   8.69637112843634277E-03           9.96528407789851300E-01
!-------------------------------------------------------------------------------------------------------------------------- 
 
100.00000   8.61692E-34 7.23391E-33 1.31386E-32 1.52784E-32 1.56542E-32 1.56764E-32 1.56889E-32 1.57035E-32
 
          1
          600.0
  0.00001   2.59263E-39 3.36068E-38 1.55167E-37 2.72353E-36 1.57341E-35 3.40856E-35 1.85223E-34 7.81877E-31
  0.00010   2.59263E-38 3.36068E-37 1.55167E-36 2.72349E-35 1.56986E-34 3.37415E-34 1.80970E-33 8.90977E-31
  0.00100   2.59261E-37 3.36068E-36 1.55164E-35 2.71979E-34 1.56740E-33 3.33909E-33 1.75905E-32 1.23414E-30
  0.01000   2.59084E-36 3.36011E-35 1.54879E-34 2.59511E-33 1.45765E-32 2.79612E-32 1.03200E-31 8.40937E-31
  0.10000   2.54066E-35 3.32871E-34 1.43995E-33 1.42233E-32 5.09192E-32 7.01928E-32 1.26668E-31 3.32075E-31
  1.00000   1.77689E-34 2.69871E-33 7.89311E-33 2.22316E-32 4.07022E-32 4.60548E-32 5.49151E-32 6.35110E-32
 10.00000   4.00162E-34 6.91031E-33 1.47945E-32 1.81529E-32 1.87696E-32 1.88787E-32 1.90475E-32 1.92391E-32
100.00000   1.50991E-33 1.06411E-32 3.04456E-32 4.70358E-32 5.43390E-32 5.55625E-32 5.72245E-32 5.85908E-32
 
          2
          100.0
  0.00001   1.16246E-40 2.77511E-40 9.40605E-40 2.50079E-39 3.50572E-39 3.66990E-39 3.89797E-39 2.33180E-37
  0.00010   1.16246E-39 2.77511E-39 9.40601E-39 2.50079E-38 3.50572E-38 3.66990E-38 3.89797E-38 6.82577E-37
  0.00100   1.16245E-38 2.77474E-38 9.39932E-38 2.49923E-37 3.50296E-37 3.66729E-37 3.89505E-37 1.87478E-36
  0.01000   1.16141E-37 2.76473E-37 9.35964E-37 2.49080E-36 3.49220E-36 3.65371E-36 3.87660E-36 4.79481E-36
  0.10000   1.15011E-36 2.68787E-36 9.25633E-36 2.47572E-35 3.47101E-35 3.63248E-35 3.84870E-35 4.04051E-35
  1.00000   1.10317E-35 2.68094E-35 9.25611E-35 2.47529E-34 3.46632E-34 3.62599E-34 3.83725E-34 4.00164E-34
 10.00000   1.09706E-34 2.67767E-34 9.23579E-34 2.46499E-33 3.44685E-33 3.60424E-33 3.81150E-33 3.97165E-33
100.00000   1.02587E-33 2.41589E-33 7.59701E-33 1.75570E-32 2.25282E-32 2.31432E-32 2.38756E-32 2.43778E-32
 
          2
          150.0
  0.00001   1.42031E-40 2.55722E-40 6.19758E-40 1.57549E-39 3.69353E-39 6.74851E-39 2.96022E-38 2.18479E-34
  0.00010   1.42031E-39 2.55722E-39 6.19758E-39 1.57549E-38 3.69349E-38 6.74848E-38 2.96016E-37 3.37953E-34
  0.00100   1.42031E-38 2.55721E-38 6.19740E-38 1.57531E-37 3.69180E-37 6.74537E-37 2.95417E-36 6.05321E-34
  0.01000   1.42026E-37 2.55629E-37 6.18668E-37 1.56689E-36 3.60122E-36 6.46342E-36 2.38689E-35 5.43203E-34
  0.10000   1.41496E-36 2.50085E-36 5.98230E-36 1.44684E-35 2.55666E-35 3.77277E-35 8.82525E-35 2.41335E-34
  1.00000   1.29388E-35 2.07874E-35 4.61690E-35 1.08980E-34 1.61280E-34 1.73684E-34 1.94711E-34 2.21042E-34
 10.00000   9.61187E-35 1.55015E-34 4.12323E-34 1.07833E-33 1.54241E-33 1.63278E-33 1.76257E-33 1.87288E-33
100.00000   8.46817E-34 1.42293E-33 3.64894E-33 8.48661E-33 1.11421E-32 1.15442E-32 1.20694E-32 1.24710E-32
 
          2
          200.0
  0.00001   1.65644E-40 3.13539E-40 1.45424E-39 1.02311E-38 4.86093E-38 9.58092E-38 4.29886E-37 5.79422E-33
  0.00010   1.65644E-39 3.13539E-39 1.45424E-38 1.02311E-37 4.86092E-37 9.58086E-37 4.29873E-36 7.19304E-33
  0.00100   1.65644E-38 3.13538E-38 1.45424E-37 1.02301E-36 4.85955E-36 9.57423E-36 4.28694E-35 1.10083E-32
  0.01000   1.65644E-37 3.13526E-37 1.45375E-36 1.01306E-35 4.71526E-35 9.07528E-35 3.68140E-34 8.98753E-33
  0.10000   1.65575E-36 3.12333E-36 1.40127E-35 7.95089E-35 3.10542E-34 5.25618E-34 1.36481E-33 3.90956E-33
  1.00000   1.59420E-35 2.78162E-35 9.27513E-35 3.00154E-34 4.97704E-34 5.57708E-34 6.58995E-34 7.39554E-34
 10.00000   1.32336E-34 1.98671E-34 4.49303E-34 9.66793E-34 1.39844E-33 1.45009E-33 1.71357E-33 1.75292E-33
100.00000   1.13121E-33 1.59773E-33 3.44995E-33 6.69406E-33 1.06052E-32 1.16963E-32 1.43567E-32 1.52532E-32
 
          2
          250.0
  0.00001   2.15661E-40 5.02916E-40 5.66046E-39 4.59562E-38 2.27770E-37 4.41615E-37 2.01054E-36 3.64632E-32
  0.00010   2.15661E-39 5.02916E-39 5.66046E-38 4.59562E-37 2.27769E-36 4.41614E-36 2.01048E-35 4.13098E-32
  0.00100   2.15661E-38 5.02916E-38 5.66045E-37 4.59537E-36 2.27694E-35 4.41508E-35 2.00447E-34 5.74667E-32
  0.01000   2.15661E-37 5.02906E-37 5.65911E-36 4.56724E-35 2.21943E-34 4.26915E-34 1.69591E-33 4.62289E-32
  0.10000   2.15659E-36 5.01862E-36 5.51280E-35 3.62738E-34 1.47358E-33 2.53183E-33 6.76873E-33 2.00408E-32
  1.00000   2.15519E-35 4.32179E-35 3.37158E-34 1.30875E-33 2.29829E-33 2.62660E-33 3.13780E-33 3.55382E-33
 10.00000   2.10750E-34 2.95435E-34 8.63605E-34 2.82336E-33 4.94126E-33 5.29217E-33 5.91701E-33 6.01563E-33
100.00000   2.00755E-33 2.51763E-33 4.78382E-33 1.69699E-32 3.66042E-32 4.03888E-32 4.69025E-32 4.93246E-32
 
          2
          300.0
  0.00001   3.83974E-40 1.28582E-39 1.48294E-38 1.17340E-37 5.84895E-37 1.13627E-36 5.18185E-36 1.12981E-31
  0.00010   3.83974E-39 1.28582E-38 1.48294E-37 1.17340E-36 5.84894E-36 1.13627E-35 5.18179E-35 1.22558E-31
  0.00100   3.83974E-38 1.28582E-37 1.48294E-36 1.17336E-35 5.84803E-35 1.13588E-34 5.17610E-34 1.60415E-31
  0.01000   3.83974E-37 1.28579E-36 1.48273E-35 1.16848E-34 5.74863E-34 1.10424E-33 4.50578E-33 1.30242E-31
  0.10000   3.83974E-36 1.28334E-35 1.45709E-34 9.49707E-34 3.93813E-33 6.77281E-33 1.85617E-32 5.67745E-32
  1.00000   3.83967E-35 1.10583E-34 9.64748E-34 3.45163E-33 6.33505E-33 7.27358E-33 8.67859E-33 9.85822E-33
 10.00000   3.82872E-34 6.09782E-34 2.29411E-33 7.90165E-33 1.23732E-32 1.32282E-32 1.42931E-32 1.45095E-32
100.00000   3.63485E-33 4.65668E-33 1.31750E-32 4.86633E-32 9.16942E-32 1.00762E-31 1.12674E-31 1.17784E-31
 
          2
          350.0
  0.00001   8.48508E-40 2.93321E-39 2.88558E-38 2.15463E-37 1.08490E-36 2.05387E-36 9.51324E-36 2.35784E-31
  0.00010   8.48508E-39 2.93321E-38 2.88558E-37 2.15463E-36 1.08490E-35 2.05387E-35 9.51317E-35 2.49926E-31
  0.00100   8.48508E-38 2.93321E-37 2.88558E-36 2.15456E-35 1.08475E-34 2.05339E-34 9.50584E-34 3.13898E-31
  0.01000   8.48508E-37 2.93316E-36 2.88526E-35 2.14797E-34 1.06920E-33 2.00828E-33 8.61751E-33 2.59272E-31
  0.10000   8.48500E-36 2.92826E-35 2.84930E-34 1.79135E-33 7.54911E-33 1.29811E-32 3.60926E-32 1.14347E-31
  1.00000   8.47582E-35 2.61023E-34 2.03826E-33 6.72605E-33 1.26628E-32 1.45675E-32 1.73671E-32 1.97885E-32
 10.00000   7.98018E-34 1.39569E-33 5.60385E-33 1.71239E-32 2.50692E-32 2.67490E-32 2.84026E-32 2.88948E-32
100.00000   6.54285E-33 1.04525E-32 3.67359E-32 1.13566E-31 1.93238E-31 2.10811E-31 2.30224E-31 2.39975E-31
 
          2
          400.0
  0.00001   1.82448E-39 5.57140E-39 4.68735E-38 3.23407E-37 1.61788E-36 3.00512E-36 1.41907E-35 3.87145E-31
  0.00010   1.82448E-38 5.57140E-38 4.68735E-37 3.23407E-36 1.61788E-35 3.00512E-35 1.41906E-34 4.04805E-31
  0.00100   1.82448E-37 5.57140E-37 4.68735E-36 3.23400E-35 1.61768E-34 3.00460E-34 1.41816E-33 4.93313E-31
  0.01000   1.82448E-36 5.57133E-36 4.68692E-35 3.22646E-34 1.59519E-33 2.95266E-33 1.31370E-32 4.16277E-31
  0.10000   1.82444E-35 5.56369E-35 4.64111E-34 2.74998E-33 1.16289E-32 2.01389E-32 5.66014E-32 1.86398E-31
  1.00000   1.82038E-34 5.05596E-34 3.53758E-33 1.08742E-32 2.07124E-32 2.38184E-32 2.83890E-32 3.24061E-32
 10.00000   1.62850E-33 2.83129E-33 1.16274E-32 3.15731E-32 4.44618E-32 4.73377E-32 4.98590E-32 5.09077E-32
100.00000   1.17086E-32 2.39064E-32 8.28830E-32 2.27500E-31 3.60623E-31 3.90295E-31 4.20293E-31 4.37545E-31
 
          2
          600.0
  0.00001   1.23249E-38 2.72760E-38 1.41957E-37 6.31747E-37 2.86803E-36 5.30053E-36 2.57443E-35 8.80425E-31
  0.00010   1.23249E-37 2.72760E-37 1.41957E-36 6.31747E-36 2.86803E-35 5.30052E-35 2.57442E-34 8.97797E-31
  0.00100   1.23249E-36 2.72760E-36 1.41957E-35 6.31737E-35 2.86785E-34 5.29982E-34 2.57368E-33 1.00906E-30
  0.01000   1.23249E-35 2.72756E-35 1.41949E-34 6.30747E-34 2.84334E-33 5.24205E-33 2.48538E-32 9.40933E-31
  0.10000   1.23241E-34 2.72361E-34 1.41116E-33 5.68509E-33 2.30979E-32 4.09299E-32 1.22171E-31 4.50508E-31
  1.00000   1.22477E-33 2.56369E-33 1.23126E-32 3.01960E-32 5.43453E-32 6.27155E-32 7.47807E-32 8.53120E-32
 10.00000   1.00366E-32 1.93658E-32 6.70367E-32 1.45929E-31 1.95126E-31 2.06006E-31 2.15729E-31 2.22447E-31
100.00000   7.90483E-32 1.89331E-31 5.75673E-31 1.28972E-30 1.80823E-30 1.91574E-30 2.02323E-30 2.10158E-30
 
          3
          100.0
  0.00001   1.00113E-40 5.31516E-40 1.18701E-38 6.85751E-37 2.02982E-36 2.36601E-36 2.77584E-36 3.83032E-36
  0.00010   1.00113E-39 5.31515E-39 1.18370E-37 6.85394E-36 2.02900E-35 2.35629E-35 2.77416E-35 3.34756E-35
  0.00100   1.00113E-38 5.31435E-38 1.18202E-36 6.79391E-35 2.02776E-34 2.34505E-34 2.77304E-34 3.33650E-34
  0.01000   1.00029E-37 5.28692E-37 1.14794E-35 6.78033E-34 2.02776E-33 2.34505E-33 2.77304E-33 3.33650E-33
  0.10000   9.85823E-37 5.03564E-36 1.14149E-34 6.78035E-33 2.02777E-32 2.34505E-32 2.77305E-32 3.33650E-32
  1.00000   9.46702E-36 4.96913E-35 1.14150E-33 6.78134E-32 2.02780E-31 2.34509E-31 2.77309E-31 3.33656E-31
 10.00000   9.42129E-35 4.96459E-34 1.14387E-32 6.79278E-31 2.02812E-30 2.34917E-30 2.77352E-30 3.34484E-30
100.00000   9.13356E-34 4.96216E-33 1.16455E-31 6.89624E-30 2.02799E-29 2.38228E-29 2.77310E-29 3.41405E-29
 
          3
          150.0
  0.00001   1.28225E-39 8.77145E-39 6.27192E-38 8.41328E-37 1.80251E-36 2.07603E-36 2.29165E-36 6.10333E-34
  0.00010   1.28225E-38 8.77144E-38 6.27021E-37 8.39921E-36 1.80214E-35 2.07168E-35 2.28366E-35 7.70525E-34
  0.00100   1.28224E-37 8.77129E-37 6.25477E-36 8.34679E-35 1.79884E-34 2.05097E-34 2.26137E-34 1.27871E-33
  0.01000   1.28167E-36 8.74705E-36 6.04737E-35 8.20689E-34 1.79297E-33 2.00583E-33 2.23363E-33 2.66429E-33
  0.10000   1.24924E-35 8.40760E-35 5.22197E-34 7.91614E-33 1.78725E-32 1.97456E-32 2.22705E-32 2.52359E-32
  1.00000   9.42515E-35 6.98485E-34 5.08688E-33 7.91729E-32 1.78725E-31 1.97448E-31 2.22699E-31 2.52350E-31
 10.00000   8.32042E-34 6.76748E-33 5.09148E-32 7.92654E-31 1.78755E-30 1.97678E-30 2.22735E-30 2.52767E-30
100.00000   8.25161E-33 6.76666E-32 5.14418E-31 8.01212E-30 1.78888E-29 1.99601E-29 2.22892E-29 2.56341E-29
 
          3
          200.0
  0.00001   7.12793E-39 3.72463E-38 1.74795E-37 1.01152E-36 1.83702E-36 1.96764E-36 3.47554E-36 2.03686E-32
  0.00010   7.12792E-38 3.72463E-37 1.74795E-36 1.01151E-35 1.83702E-35 1.96763E-35 3.43355E-35 2.17121E-32
  0.00100   7.12791E-37 3.72461E-36 1.74782E-35 1.01115E-34 1.83654E-34 1.96699E-34 3.36130E-34 2.68112E-32
  0.01000   7.12666E-36 3.72257E-35 1.73072E-34 9.81713E-34 1.71941E-33 1.90916E-33 2.47171E-33 2.25410E-32
  0.10000   6.99941E-35 3.59841E-34 1.51366E-33 8.64506E-33 1.60184E-32 1.74155E-32 1.97828E-32 2.68798E-32
  1.00000   5.29750E-34 2.71729E-33 1.19009E-32 8.48622E-32 1.59901E-31 1.73675E-31 1.91266E-31 2.10210E-31
