 #http://www3.geosc.psu.edu/~jkf4/Climate%20model%20wavelength%20wavelength%20intervals/IR_wavelength_grid.tab
 # H2O HITRAN IR K-COEFFICIENTS
 #Interval    (1= 0-40 cm-1, 2 = 40-100 cm-1, ......, 55 = 14470 - 150000 cm-1)
 #Temperature (100,150,200,250,300,350,400,600)
 #P(bar)    K1,K2....K8(cm^2 molecule)
    
Quadrature weights w(quad)        Quadrature abscissas (g)
   1.65231051440290516E-01           6.59602519928250280E-02
   3.09768948559709378E-01           3.13509004297193250E-01
   3.09768948559709378E-01           6.36490995702806650E-01
   1.65231051440290516E-01           8.84039748007174886E-01
   8.69637112843634277E-03           9.53471592210148655E-01
   1.63036288715636482E-02           9.66500473910378632E-01
   1.63036288715636482E-02           9.83499526089621323E-01
   8.69637112843634277E-03           9.96528407789851300E-01
!--------------------------------------------------------------------------------------------------------------------------

100.00000   1.82795E-20 2.86692E-20 5.75168E-20 6.10879E-20 6.56150E-20 6.56740E-20 6.77362E-20 7.00865E-20

          2
          250.0
  0.00001   5.19238E-25 2.59657E-24 3.34529E-22 3.79503E-19 4.62443E-18 6.83587E-18 1.69975E-17 1.38587E-16
  0.00010   4.40483E-24 2.14308E-23 1.43825E-21 7.24413E-19 1.95679E-17 2.90520E-17 5.05152E-17 1.94175E-16
  0.00100   2.86748E-23 1.53599E-22 1.35833E-21 1.52628E-19 3.29147E-18 5.20881E-18 9.83940E-18 2.60452E-17
  0.01000   2.22220E-22 1.11341E-21 4.93735E-21 1.08336E-19 5.95020E-19 8.86241E-19 1.85772E-18 1.09688E-17
  0.10000   1.84554E-21 9.22867E-21 3.58960E-20 2.55108E-19 7.88186E-19 1.08456E-18 1.92019E-18 4.91423E-18
  1.00000   1.45946E-20 5.80687E-20 1.36341E-19 3.01452E-19 5.13060E-19 5.71126E-19 7.05161E-19 8.17886E-19
 10.00000   4.73938E-20 8.76874E-20 1.42053E-19 2.24500E-19 2.48363E-19 2.57372E-19 2.69444E-19 2.75393E-19
100.00000   1.57348E-20 2.58738E-20 5.34188E-20 5.72411E-20 6.37461E-20 6.38313E-20 6.57298E-20 6.74164E-20

          2
          300.0
  0.00001   5.56967E-25 3.91672E-24 3.69485E-22 2.43915E-19 4.51836E-18 9.90278E-18 2.71478E-17 9.67060E-17
  0.00010   4.28141E-24 2.23739E-23 1.73000E-21 8.11696E-19 1.49299E-17 2.33278E-17 4.66329E-17 1.16487E-16
  0.00100   2.26541E-23 1.22403E-22 1.54251E-21 2.61085E-19 3.14958E-18 4.70293E-18 8.47991E-18 2.11643E-17
  0.01000   1.66516E-22 8.72705E-22 4.14371E-21 9.88832E-20 5.06734E-19 7.45310E-19 1.50496E-18 8.85824E-18
  0.10000   1.40326E-21 7.23450E-21 2.77456E-20 2.00343E-19 6.49422E-19 8.87349E-19 1.55088E-18 3.76829E-18
  1.00000   1.06364E-20 4.63845E-20 1.05006E-19 2.22488E-19 4.05936E-19 4.64001E-19 5.60362E-19 7.03765E-19
 10.00000   3.63676E-20 7.03084E-20 1.16452E-19 1.82984E-19 2.08718E-19 2.19367E-19 2.34061E-19 2.42092E-19
100.00000   1.37568E-20 2.33595E-20 4.76388E-20 5.29386E-20 6.01052E-20 6.03617E-20 6.19521E-20 6.31606E-20

          2
          350.0
  0.00001   5.68447E-25 5.83080E-24 5.93311E-22 1.56115E-19 2.75572E-18 5.81259E-18 2.16215E-17 5.47474E-17
  0.00010   4.34575E-24 3.09097E-23 2.54398E-21 6.83460E-19 9.09656E-18 1.40334E-17 3.26822E-17 8.36655E-17
  0.00100   2.05579E-23 1.12399E-22 2.00113E-21 3.41426E-19 3.02057E-18 4.40079E-18 7.84113E-18 1.74839E-17
  0.01000   1.31867E-22 7.31535E-22 3.45234E-21 8.84602E-20 4.37787E-19 6.55848E-19 1.19478E-18 7.05263E-18
  0.10000   1.09238E-21 5.61112E-21 2.16562E-20 1.61549E-19 5.43826E-19 7.50613E-19 1.27543E-18 2.94266E-18
  1.00000   8.08726E-21 3.73416E-20 8.58471E-20 1.88124E-19 3.23942E-19 3.76833E-19 4.51713E-19 6.05171E-19
 10.00000   2.88167E-20 5.79679E-20 9.75833E-20 1.50877E-19 1.76593E-19 1.87715E-19 2.03469E-19 2.12583E-19
100.00000   1.21519E-20 2.11640E-20 4.25242E-20 4.88497E-20 5.56284E-20 5.63634E-20 5.76567E-20 5.84997E-20

          2
          400.0
  0.00001   6.03993E-25 1.00491E-23 6.96208E-22 1.49738E-19 2.15370E-18 3.59013E-18 6.95330E-18 1.99653E-17
  0.00010   4.77647E-24 4.21131E-23 2.89578E-21 6.29948E-19 6.26419E-18 8.78173E-18 1.48938E-17 3.13636E-17
  0.00100   2.27791E-23 1.28477E-22 2.60099E-21 4.16216E-19 2.82054E-18 4.07937E-18 7.32549E-18 1.50731E-17
  0.01000   1.08489E-22 6.13298E-22 3.08690E-21 8.36789E-20 3.77282E-19 5.65771E-19 1.00697E-18 5.81720E-18
  0.10000   8.78926E-22 4.53984E-21 1.73952E-20 1.32869E-19 4.73311E-19 6.40266E-19 1.06578E-18 2.23287E-18
  1.00000   6.29105E-21 3.03814E-20 7.27495E-20 1.59936E-19 2.62189E-19 3.09098E-19 3.88009E-19 5.22062E-19
 10.00000   2.34035E-20 4.87034E-20 8.34472E-20 1.25873E-19 1.50676E-19 1.61616E-19 1.77509E-19 1.87083E-19
100.00000   1.08095E-20 1.92276E-20 3.81243E-20 4.49835E-20 5.12759E-20 5.23471E-20 5.33538E-20 5.39447E-20

          2
          600.0
  0.00001   2.82106E-24 7.76587E-23 1.57573E-21 7.16040E-20 9.69686E-19 1.59232E-18 2.95075E-18 1.28760E-17
  0.00010   1.64965E-23 2.49321E-22 4.19646E-21 2.82800E-19 1.97263E-18 2.66527E-18 4.82420E-18 1.55144E-17
  0.00100   4.98885E-23 4.95320E-22 6.69259E-21 4.72491E-19 2.23382E-18 3.14368E-18 5.21255E-18 9.86895E-18
  0.01000   7.85852E-23 4.70226E-22 2.85204E-21 7.46187E-20 2.50616E-19 3.59531E-19 5.84640E-19 3.26589E-18
  0.10000   4.15486E-22 2.44104E-21 1.01605E-20 7.10293E-20 2.58341E-19 3.60121E-19 6.36854E-19 1.17109E-18
  1.00000   2.90865E-21 1.48807E-20 4.03522E-20 9.31899E-20 1.47247E-19 1.72367E-19 2.14606E-19 3.03270E-19
 10.00000   1.17666E-20 2.57383E-20 5.00217E-20 7.11568E-20 8.69306E-20 9.51951E-20 1.08538E-19 1.17432E-19
100.00000   7.04793E-21 1.33119E-20 2.58834E-20 3.26940E-20 3.71641E-20 3.87592E-20 3.90554E-20 3.92397E-20

          3
          100.0
  0.00001   6.38222E-25 1.67756E-24 9.52153E-24 1.99309E-21 5.07175E-19 1.52674E-18 4.39700E-18 1.52443E-16
  0.00010   6.36685E-24 1.65935E-23 8.91096E-23 1.29898E-20 2.38020E-18 7.35969E-18 3.00891E-17 3.95923E-16
  0.00100   6.22937E-23 1.59741E-22 7.28582E-22 2.60706E-20 5.29130E-19 1.22825E-18 3.46989E-18 3.38237E-17
  0.01000   6.14034E-22 1.54533E-21 6.11293E-21 8.35318E-20 5.22409E-19 9.71861E-19 2.82493E-18 2.51382E-17
  0.10000   5.96600E-21 1.51374E-20 5.41260E-20 4.60203E-19 1.67342E-18 2.45962E-18 4.49092E-18 9.69495E-18
  1.00000   5.37003E-20 1.21981E-19 2.60737E-19 6.51048E-19 1.04214E-18 1.22693E-18 1.58844E-18 1.80544E-18
 10.00000   1.84586E-19 2.29052E-19 2.50997E-19 2.90120E-19 3.26938E-19 3.32774E-19 3.41482E-19 3.52205E-19
100.00000   3.92127E-20 4.27994E-20 4.70692E-20 5.81456E-20 6.44335E-20 6.44758E-20 6.45208E-20 6.45574E-20

          3
          150.0
  0.00001   6.16615E-25 2.00635E-24 1.75689E-23 1.41003E-20 9.10697E-19 2.08454E-18 7.58461E-18 8.24356E-17
  0.00010   6.16306E-24 1.96147E-23 1.46562E-22 5.35383E-20 4.87199E-18 1.23403E-17 3.31987E-17 2.21044E-16
  0.00100   6.15521E-23 1.77965E-22 9.99164E-22 7.14180E-20 2.04948E-18 4.25317E-18 9.64138E-18 4.21339E-17
  0.01000   6.08182E-22 1.61118E-21 7.37530E-21 1.25772E-19 7.57619E-19 1.09962E-18 3.39904E-18 2.57149E-17
  0.10000   5.89058E-21 1.53511E-20 6.09367E-20 5.09725E-19 1.75179E-18 2.46368E-18 4.67632E-18 9.69539E-18
  1.00000   5.26980E-20 1.17217E-19 2.79371E-19 6.88649E-19 1.12817E-18 1.24917E-18 1.69111E-18 2.12086E-18
 10.00000   1.99605E-19 2.40864E-19 2.73515E-19 3.29971E-19 3.51569E-19 3.54579E-19 3.57036E-19 3.57825E-19
100.00000   5.70909E-20 6.32620E-20 6.67763E-20 6.98373E-20 7.45275E-20 7.45828E-20 7.46276E-20 7.46493E-20

          3
          200.0
  0.00001   5.87465E-25 1.94141E-24 3.49952E-23 2.71180E-20 1.16973E-18 2.19570E-18 7.17635E-18 3.42128E-17
  0.00010   5.83873E-24 1.84966E-23 2.55734E-22 1.20200E-19 6.39346E-18 1.18887E-17 2.73002E-17 1.05973E-16
  0.00100   5.82246E-23 1.66506E-22 1.41936E-21 1.41146E-19 3.56975E-18 7.23570E-18 1.50838E-17 4.53550E-17
  0.01000   5.78372E-22 1.48719E-21 7.94880E-21 1.45650E-19 8.92190E-19 1.33867E-18 3.42529E-18 2.39415E-17
  0.10000   5.76034E-21 1.39926E-20 6.23090E-20 4.84206E-19 1.70070E-18 2.42339E-18 4.33953E-18 9.27715E-18
  1.00000   4.97998E-20 1.07803E-19 2.89597E-19 6.83109E-19 1.00596E-18 1.11800E-18 1.46565E-18 2.01380E-18
 10.00000   1.76465E-19 2.46027E-19 2.65509E-19 3.19809E-19 3.58776E-19 3.63495E-19 3.67271E-19 3.68278E-19
100.00000   6.58909E-20 7.21990E-20 7.58928E-20 7.68749E-20 7.89350E-20 7.90377E-20 8.17332E-20 8.18245E-20

          3
          250.0
  0.00001   5.43864E-25 2.39350E-24 7.29565E-23 5.14186E-20 1.04164E-18 1.81370E-18 5.80480E-18 4.32598E-17
  0.00010   5.01741E-24 2.16613E-23 4.24556E-22 1.96282E-19 5.40450E-18 9.67227E-18 2.26056E-17 7.19338E-17
  0.00100   4.68096E-23 1.71938E-22 1.80060E-21 2.41603E-19 4.58911E-18 8.81158E-18 1.81619E-17 4.34212E-17
  0.01000   4.55722E-22 1.31907E-21 8.95309E-21 1.59765E-19 9.98151E-19 1.50310E-18 3.40795E-18 2.17304E-17
  0.10000   4.55626E-21 1.22767E-20 6.31549E-20 4.72712E-19 1.64854E-18 2.23129E-18 4.15870E-18 8.55684E-18
  1.00000   4.45924E-20 1.00563E-19 2.64634E-19 6.51975E-19 9.05950E-19 9.72576E-19 1.21833E-18 1.79516E-18
 10.00000   1.50938E-19 2.31511E-19 2.45421E-19 3.04152E-19 3.43649E-19 3.51291E-19 3.55985E-19 3.57309E-19
100.00000   6.73513E-20 7.35146E-20 8.06150E-20 8.22289E-20 8.35889E-20 8.37659E-20 8.73822E-20 8.74816E-20

          3
          300.0
  0.00001   6.37475E-25 4.34687E-24 1.72029E-22 5.44316E-20 8.49233E-19 1.43820E-18 4.06418E-18 2.89854E-17
  0.00010   5.54235E-24 3.32005E-23 8.72054E-22 2.41817E-19 4.32287E-18 7.10669E-18 1.52857E-17 5.02434E-17
  0.00100   4.49109E-23 2.39968E-22 2.59387E-21 3.97782E-19 5.16168E-18 9.35918E-18 1.91948E-17 4.43099E-17
  0.01000   3.72265E-22 1.27004E-21 9.36692E-21 1.70953E-19 1.02636E-18 1.55418E-18 3.32308E-18 1.96417E-17
  0.10000   3.71184E-21 1.11834E-20 6.04107E-20 4.50630E-19 1.45124E-18 2.02411E-18 3.74923E-18 7.95600E-18
  1.00000   3.62499E-20 8.76026E-20 2.38196E-19 6.08972E-19 8.51322E-19 9.26799E-19 1.06275E-18 1.56678E-18
 10.00000   1.29508E-19 2.10100E-19 2.23567E-19 2.86482E-19 3.23470E-19 3.29895E-19 3.35817E-19 3.37789E-19
100.00000   6.43085E-20 6.96595E-20 8.24412E-20 8.38021E-20 8.46484E-20 8.59056E-20 8.84057E-20 8.85194E-20

          3
          350.0
  0.00001   7.10078E-25 6.24061E-24 2.78352E-22 6.53590E-20 7.37223E-19 1.41303E-18 5.04750E-18 2.39165E-17
  0.00010   5.71093E-24 3.91718E-23 1.24201E-21 2.72684E-19 3.77326E-18 5.92661E-18 1.22947E-17 3.42762E-17
  0.00100   4.02966E-23 2.59644E-22 4.15858E-21 5.83371E-19 5.62097E-18 9.56488E-18 2.08438E-17 4.35722E-17
  0.01000   3.23098E-22 1.27657E-21 9.16787E-21 1.73864E-19 9.92137E-19 1.54825E-18 3.27244E-18 1.70508E-17
  0.10000   3.13496E-21 1.05613E-20 5.85619E-20 4.29786E-19 1.26609E-18 1.81408E-18 3.39658E-18 7.32827E-18
  1.00000   3.05182E-20 7.66606E-20 2.23254E-19 5.38241E-19 7.93198E-19 8.75826E-19 9.73388E-19 1.35942E-18
 10.00000   1.12145E-19 1.85871E-19 2.03410E-19 2.71085E-19 3.01281E-19 3.06271E-19 3.12416E-19 3.14696E-19
100.00000   6.03051E-20 6.65034E-20 8.11883E-20 8.36888E-20 8.52146E-20 8.54393E-20 8.67544E-20 8.68805E-20

          3
          400.0
  0.00001   1.36139E-24 1.09088E-23 5.46748E-22 7.18427E-20 5.37172E-19 8.88758E-19 2.92570E-18 2.02406E-17
  0.00010   9.02672E-24 6.32455E-23 2.23486E-21 3.01578E-19 2.65235E-18 4.07069E-18 8.77144E-18 2.69947E-17
