 
 P =             1  mbar      T =          150  K
 int#     k1          k2          k3          k4          k5          k6
50    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
51    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
52    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
53    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
54    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
55    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 
 P =           100  mbar      T =          150  K
 int#     k1          k2          k3          k4          k5          k6
 1    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5    2.17836E-30 2.54635E-30 4.43145E-30 2.01848E-29 1.11664E-28 1.08649E-27
 6    6.04007E-29 1.50951E-28 3.30107E-28 7.13421E-28 3.58003E-27 6.31607E-26
 7    3.44727E-29 8.07444E-29 2.13229E-28 5.58468E-28 2.78363E-27 1.41558E-25
 8    2.93159E-30 8.53411E-30 2.44847E-29 7.41276E-29 3.46808E-28 3.46648E-27
 9    6.32139E-31 3.25778E-30 1.14602E-29 3.81930E-29 1.46752E-28 1.20471E-27
10    2.70647E-31 7.12279E-31 2.17545E-30 6.60733E-30 3.14168E-29 3.89322E-28
11    1.22522E-32 5.70417E-32 1.65160E-31 5.86220E-31 3.03992E-30 4.68812E-29
12    1.15588E-34 5.07778E-34 2.00723E-33 1.05313E-32 6.77816E-32 8.46842E-31
13    4.73763E-35 7.05087E-35 1.44304E-34 9.33239E-34 8.00815E-33 2.13541E-31
14    7.41504E-36 1.36354E-35 3.50499E-35 1.14976E-34 7.13879E-34 2.26528E-32
15    0.00000E+00 0.00000E+00 3.46109E-38 2.57482E-36 2.22391E-35 8.62580E-34
16    0.00000E+00 1.98326E-35 9.16334E-34 3.39256E-32 3.20292E-31 6.89802E-30
17    4.18938E-31 1.40238E-30 4.50378E-30 1.68806E-29 8.94043E-29 1.27602E-27
18    4.51705E-29 2.26307E-28 1.09359E-27 4.64781E-27 1.96088E-26 1.97109E-25
19    7.04991E-27 2.38969E-26 6.33832E-26 1.91586E-25 8.78019E-25 8.54197E-24
20    1.11667E-25 4.50068E-25 1.26884E-24 3.64626E-24 1.53386E-23 1.22618E-22
