    SIZE INTERVAL   1
   WAVl        QEXT      W0      gf
     1.2500      3.4064409e-06      5.1999440e-06     1.0767603e-06
     1.3700      2.6503636e-06      4.5331698e-06     8.8192114e-07
     1.5000      2.4386566e-06      3.5313428e-06     7.6652853e-07
     1.6300      2.2462916e-06      2.7598692e-06     6.5596436e-07
     1.7700      2.0560642e-06      2.1164227e-06     5.3689525e-07
     1.9400      2.7714858e-06      1.0575812e-06     4.3834824e-07
     2.1100      3.3053386e-06      6.3461668e-07     3.7136854e-07
     2.3400      3.0526098e-06      4.4634838e-07     2.9956781e-07
     2.5700      8.1221168e-06      1.1206416e-07     2.4693344e-07
     2.7900      5.8873090e-05      1.0454159e-08     2.0415738e-07
     3.0800      1.9781333e-04      2.3515551e-09     1.7196315e-07
     3.4100      9.9644011e-05      3.2419951e-09     1.4383833e-07
     3.7900      3.9133678e-05      5.3280013e-09     1.1604629e-07
     4.0900      2.4268248e-05      6.1776050e-09     9.8671936e-08
     4.3600      2.1776119e-05      5.1107245e-09     8.5321512e-08
    SIZE INTERVAL   6
   WAVl        QEXT      W0      gf
     0.2563      7.3851064e-03      3.5170210e-06     4.8855801e-05
     0.2795      5.9744938e-03      2.9232281e-06     4.1161392e-05
     0.2965      5.1583097e-03      2.5516818e-06     3.6135756e-05
     0.3186      4.3973157e-03      2.1522933e-06     3.1263965e-05
     0.3355      3.8443230e-03      1.9413148e-06     2.8064940e-05
     0.3650      2.9668589e-03      1.7680952e-06     2.3799659e-05
     0.4200      1.7103764e-03      1.9002834e-06     1.8531827e-05
     0.4950      7.9421169e-04      2.2100976e-06     1.4027779e-05
     0.5448      4.8745553e-04      2.3688031e-06     1.1326947e-05
     0.5581      4.2787428e-04      2.4130837e-06     1.0605640e-05
     0.5858      3.3103093e-04      2.5645066e-06     9.6928782e-06
     0.6150      2.5353515e-04      2.7500295e-06     8.8811692e-06
     0.6459      1.9118958e-04      2.9609895e-06     8.0222033e-06
     0.6790      1.4130688e-04      3.2049539e-06     7.1020812e-06
     0.7210      9.8931840e-05      3.6046245e-06     6.3712191e-06
     0.7680      6.7002104e-05      4.1352065e-06     5.7020682e-06
     0.8130      4.6136306e-05      4.7162478e-06     5.0613918e-06
     0.8670      2.9484114e-05      5.5222482e-06     4.2925802e-06
     0.9260      1.9367363e-05      6.4497019e-06     3.7924579e-06
