
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  6.825E+06 3.475E-09 1.300E-07 1.300E-07 1.887E-01 2.830E+06 2.851E+05 9.256E+17 6.985E+01
  6.925E+06 2.837E-09 1.300E-07 1.300E-07 2.264E-01 2.358E+06 2.851E+05 1.134E+18 6.985E+01
  7.025E+06 2.306E-09 1.300E-07 1.300E-07 2.716E-01 1.966E+06 2.851E+05 1.394E+18 6.985E+01
  7.125E+06 1.866E-09 1.300E-07 1.300E-07 3.259E-01 1.639E+06 2.851E+05 1.723E+18 6.985E+01
  7.225E+06 1.501E-09 1.300E-07 1.300E-07 3.909E-01 1.366E+06 2.851E+05 2.143E+18 6.985E+01
  7.325E+06 1.199E-09 1.300E-07 1.300E-07 4.689E-01 1.139E+06 2.851E+05 2.683E+18 6.985E+01
  7.425E+06 9.494E-10 1.300E-07 1.300E-07 5.625E-01 9.494E+05 2.851E+05 3.387E+18 6.985E+01
  7.525E+06 7.442E-10 1.300E-07 1.300E-07 6.746E-01 7.915E+05 2.851E+05 4.321E+18 6.985E+01
  7.625E+06 5.763E-10 1.300E-07 1.300E-07 8.091E-01 6.600E+05 2.851E+05 5.581E+18 6.985E+01
  7.725E+06 4.397E-10 1.300E-07 1.300E-07 9.703E-01 5.503E+05 2.851E+05 7.313E+18 6.985E+01
  7.825E+06 3.297E-10 1.300E-07 1.300E-07 1.164E+00 4.589E+05 2.851E+05 9.755E+18 6.985E+01
  7.925E+06 2.420E-10 1.300E-07 1.300E-07 1.395E+00 3.827E+05 2.851E+05 1.329E+19 6.985E+01
  8.025E+06 1.732E-10 1.300E-07 1.300E-07 1.673E+00 3.192E+05 2.851E+05 1.857E+19 6.985E+01
  8.125E+06 1.202E-10 1.300E-07 1.300E-07 2.006E+00 2.662E+05 2.851E+05 2.675E+19 6.985E+01
  8.225E+06 8.046E-11 1.300E-07 1.300E-07 2.405E+00 2.220E+05 2.851E+05 3.997E+19 6.985E+01
  8.325E+06 5.154E-11 1.300E-07 1.300E-07 2.883E+00 1.852E+05 2.851E+05 6.239E+19 6.985E+01
  8.425E+06 3.133E-11 1.300E-07 1.300E-07 3.456E+00 1.545E+05 2.851E+05 1.027E+20 6.985E+01
  8.525E+06 1.787E-11 1.300E-07 1.300E-07 4.143E+00 1.289E+05 2.851E+05 1.799E+20 6.985E+01
  8.625E+06 9.449E-12 1.300E-07 1.300E-07 4.967E+00 1.075E+05 2.851E+05 3.403E+20 6.985E+01
  8.725E+06 4.559E-12 1.300E-07 1.300E-07 5.953E+00 8.970E+04 2.851E+05 7.054E+20 6.985E+01
  8.825E+06 1.969E-12 1.300E-07 1.300E-07 7.135E+00 7.484E+04 2.851E+05 1.633E+21 6.985E+01
  8.925E+06 7.442E-13 1.300E-07 1.300E-07 8.551E+00 6.245E+04 2.851E+05 4.321E+21 6.985E+01
  9.025E+06 2.390E-13 1.300E-07 1.300E-07 1.025E+01 5.211E+04 2.851E+05 1.346E+22 6.985E+01
  9.125E+06 6.290E-14 1.300E-07 1.300E-07 1.228E+01 4.349E+04 2.851E+05 5.113E+22 6.985E+01
  9.225E+06 1.294E-14 1.300E-07 1.300E-07 1.471E+01 3.629E+04 2.851E+05 2.485E+23 6.985E+01
  9.325E+06 1.953E-15 1.300E-07 1.300E-07 1.763E+01 3.029E+04 2.851E+05 1.646E+24 6.985E+01
  9.425E+06 1.979E-16 1.300E-07 1.300E-07 2.112E+01 2.528E+04 2.851E+05 1.625E+25 6.985E+01
  9.525E+06 1.173E-17 1.300E-07 1.300E-07 2.531E+01 2.110E+04 2.851E+05 2.741E+26 6.985E+01
  9.625E+06 3.187E-19 1.300E-07 1.300E-07 3.032E+01 1.761E+04 2.851E+05 1.009E+28 6.985E+01
  9.725E+06 2.355E-21 1.300E-07 1.300E-07 3.632E+01 1.470E+04 2.851E+05 1.366E+30 6.985E+01
  9.825E+06 8.676E-23 1.300E-07 1.300E-07 4.350E+01 1.227E+04 2.851E+05 3.707E+31 6.985E+01
  9.925E+06 3.454E-23 1.300E-07 1.300E-07 5.211E+01 1.025E+04 2.851E+05 9.312E+31 6.985E+01
