"WL.um."	"FLUX.W.m2.um."
0.2325	0.000125130382344226
0.2335	0.000202779424637498
0.2345	0.000183367164064180
0.2355	0.000157396707351227
0.2365	0.000194647261424351
0.2375	0.000199893818336058
0.2385	0.000283314073232209
0.2395	0.00029118390859977
0.2405	0.000490553071244658
0.2415	0.000341026199260992
0.2425	0.000320039971614162
0.2435	0.00046432028668612
0.2445	0.000611223880213932
0.2455	0.000834202548961504
0.2465	0.000592860931022956
0.2475	0.0006584428924193
0.2485	0.000926017294916386
0.2495	0.000598107487934663
0.2505	0.000857812055064188
0.2513	0.000834202548961504
0.2518	0.000897161231901995
0.2525	0.000629586829404909
0.2535	0.0023898066732828
0.2545	0.00296430465511478
0.2555	0.00621716994037347
0.2565	0.00267574402497086
0.2575	0.00190187688049399
0.2585	0.0029118390859977
0.2595	0.0027019768095294
0.2605	0.00461697008230266
0.2615	0.00495799628156366
0.2625	0.00944380244107363
0.2635	0.0182580180527423
0.2645	0.0092864057337224
0.2655	0.0101520876241542
0.2665	0.0156347395968886
0.2675	0.00918147459548825
0.2685	0.0189663032358229
0.2695	0.0178645262843643
0.2705	0.02458011913135
0.2715	0.0218519095372620
0.2725	0.0140607725233763
0.2735	0.0142181692307275
0.2745	0.0157659035196813
0.2755	0.0143755659380787
0.2765	0.0351519313084407
0.2775	0.0653196335507593
0.2785	0.0338402920805138
0.2795	0.0763374030653452
0.2805	0.0364635705363676
0.2815	0.0655819613963446
0.2825	0.0480059957421243
0.2835	0.0981106142489316
0.2845	0.0611223880213932
0.2855	0.175497328696618
0.2865	0.142968675844031
0.2875	0.115424252057567
0.2885	0.24239092932089
0.2895	0.219568406754962
0.291	0.27019768095294
0.293	0.619093715581494
0.295	0.314793414702454
0.297	0.742387803006621
0.299	0.198057523416961
0.301	0.0351519313084407
0.303	0.503669463523927
0.305	0.0884044839622726
0.307	0.232947126879816
0.309	0.0855188776608334
0.311	0.419724552936606
0.313	0.453827172862705
0.315	0.765997309109305
0.317	2.78067516320501
0.319	0.923394016460533
0.321	1.92810966505253
0.323	0.988975977856877
0.325	4.32840945215875
0.327	6.97792069257107
0.329	11.8834514050176
0.331	8.13216321314674
0.333	9.15524181092971
0.335	12.6704349417738
0.337	0.902407788813702
0.339	5.56135032641003
0.341	3.30533085437577
0.343	3.98738325289775
0.345	2.2533961935784
0.347	3.77752097642945
0.349	7.7649042293272
0.351	9.99469091680292
0.353	12.2507103888372
0.355	12.9852283564762
0.357	1.12800973601713
0.359	10.3094843315054
0.361	9.60119914842486
0.363	21.4584177688840
0.364	19.3073294350839
0.365	20.1205457563985
0.367	13.7197463241153
0.369	21.6682800453523
0.371	39.8738325289775
0.373	2.64951124041232
0.375	10.4931138234151
0.377	14.8739888446910
0.379	15.6347395968886
0.381	18.1268541299497
0.383	1.91761655122912
0.385	10.5980449616493
0.387	21.5895816916767
0.389	13.0901594947104
0.391	10.0209237013615
0.393	26.2327845585379
0.395	36.9882262275384
0.397	27.2820959408794
0.399	55.6135032641003
0.401	105.193466079737
0.403	57.4497981831979
0.405	75.8127473741744
0.407	56.4004868008564
0.409	95.7496636386632
0.411	33.5779642349285
0.413	56.6628146464418
0.415	64.5326500140031
0.417	98.6352699401023
0.419	91.2900902637117
0.421	61.1223880213932
0.423	80.0099929035405
0.425	95.7496636386632
0.427	81.3216321314674
0.429	56.6628146464418
0.431	95.4873357930778
0.433	87.8798282711018
0.435	81.059304285882
0.437	91.5524181092971
0.439	81.3216321314674
0.441	74.2387803006621
0.443	79.747665057955
0.445	88.1421561166872
0.447	79.747665057955
0.449	71.353173999223
0.451	116.473563439908
0.453	60.8600601758078
0.455	89.453795344614
0.457	99.6845813224439
0.459	60.3354044846371
0.461	52.7278969626611
0.463	72.9271410727352
0.465	51.6785855803196
0.467	81.5839599770527
0.469	79.4853372123697
0.471	103.88182685181
0.473	98.1106142489316
0.475	121.720120351616
0.477	43.2840945215875
0.479	55.0888475729295
0.481	53.2525526538318
0.483	55.0888475729295
0.485	72.1401575359791
0.487	68.9922233889546
0.489	103.619499006225
0.491	141.394708770519
0.493	151.100839057178
0.495	100.4715648592
0.497	40.6608160657337
0.499	46.1697008230266
0.501	43.8087502127582
0.503	67.6805841610277
0.505	71.0908461536376
0.507	90.2407788813702
0.509	104.144154697395
0.511	97.8482864033462
0.513	107.029760998834
0.515	77.3867144476867
0.517	39.8738325289775
0.519	45.6450451318559
0.521	49.5799628156365
0.523	99.9469091680292
0.525	131.950906329445
0.527	119.883825432518
0.529	202.254768946327
0.531	245.8011913135
0.533	195.958900652278
0.535	196.221228497863
0.537	225.601947203426
0.539	251.572403916378
0.541	224.027980129913
0.543	205.402703093351
0.545	105.193466079737
0.547	129.589955719177
0.549	130.376939255933
0.551	125.917365880982
0.553	170.513099630496
0.555	229.799192732792
0.557	275.444237864648
0.559	162.90559210852
0.561	148.477560601324
0.563	150.313855520422
0.565	183.367164064180
0.567	208.025981549205
0.569	256.031977291329
0.571	304.300300879039
0.573	356.765869996115
0.575	322.663250070016
0.577	309.546857790747
0.579	341.026199260992
0.581	327.909806981723
0.583	299.053743967332
0.585	253.146370989890
0.587	230.586176269548
0.589	94.962680101907
0.591	201.992441100742
0.593	202.517096791912
0.595	206.189686630108
0.597	212.747882769742
0.599	247.112830541427
0.601	275.444237864648
0.603	335.779642349285
0.605	354.142591540261
0.607	430.217666760021
0.609	435.464223671728
0.611	472.190122053681
0.613	424.971109848313
0.615	288.560630143916
0.617	212.485554924157
0.619	161.856280726179
0.621	145.591954299885
0.623	126.704349417738
0.625	150.313855520422
0.627	181.006213453911
0.629	217.732111835864
0.631	249.998436842866
0.633	291.18390859977
0.635	330.533085437577
0.637	317.416693158308
0.639	299.053743967332
0.641	372.505540731238
0.643	388.24521146636
0.645	422.347831392460
0.647	406.608160657337
0.649	419.724552936606
0.651	514.162577347342
0.653	516.785855803196
0.655	490.553071244658
0.657	422.347831392460
0.659	414.477996024898
0.661	417.101274480752
0.663	304.300300879039
0.665	288.560630143916
0.667	248.424469769353
0.669	228.74988135045
0.671	183.629491909765
0.673	190.187688049399
0.675	193.860277887595
0.677	211.173915696230
0.679	210.124604313888
0.681	237.144372409182
0.683	238.98066732828
0.685	251.572403916378
0.687	256.818960828086
0.689	244.227224239987
0.691	270.19768095294
0.693	253.146370989890
0.695	312.170136246601
0.697	356.765869996115
0.699	377.752097642945
0.701	435.464223671728
0.703	587.614374111248
0.705	312.170136246601
0.707	249.998436842866
0.709	221.404701674060
0.711	167.102837637886
0.713	168.939132556984
0.715	182.317852681838
0.717	188.351393130302
0.719	207.501325858034
0.721	258.392927901598
0.723	261.803189894208
0.725	364.635705363676
0.727	417.101274480752
0.729	430.217666760021
0.731	653.196335507593
0.733	655.819613963446
0.735	713.53173999223
0.737	902.407788813702
0.739	865.68189043175
0.741	949.62680101907
0.743	1017.83204087127
0.745	957.496636386632
0.747	1054.55793925322
0.749	1096.53039454688
0.751	1093.90711609103
0.753	1214.57792506030
0.755	1238.18743116299
0.757	1159.48907748737
0.759	745.011081462475
0.761	765.997309109305
0.763	684.675676977838
0.765	508.916020435634
0.767	372.505540731238
