"WL.um."	"FLUX.w.m2.um."
0.153	1.40035107099045
0.154	1.52765571380776
0.154	0.970149174573322
0.154	0.70676025839957
0.154	2.21685671112908
0.154	3.12554847192853
0.154	4.91659310191005
0.155	11.3696215481670
0.155	18.3933259794670
0.155	21.2467059046827
0.155	17.5153629255545
0.155	9.70149174573322
0.156	4.34591711686692
0.156	2.05443354615527
0.156	3.08165031923290
0.156	3.41527627971966
0.156	4.87269494921442
0.156	3.05970124288509
0.157	1.58033349704251
0.157	1.61106220392945
0.157	1.66812980243377
0.157	2.15539929735521
0.157	1.64618072608595
0.157	1.71641777039895
0.158	1.37401217937308
0.158	3.04653179707640
0.158	1.11940289373845
0.158	0.715539888938694
0.158	0.930640837147259
0.158	0.162862146500770
0.159	0.00575065800312693
0.159	1.33450384194701
0.159	0.98331862038201
