  Int#    Range (A)      Flux       Ozone1     Ozone2     CH3CHO     CH3COCH3
=============================================================================
   96   7250.0-7350.0   4.91E+15    5.3E-22    5.3E-22    0.0        0.0    
   97   7350.0-7450.0   4.81E+15    4.5E-22    4.5E-22    0.0        0.0    
   98   7450.0-7550.0   4.81E+15    3.8E-22    3.8E-22    0.0        0.0
   99   7550.0-7650.0   4.75E+15    3.0E-22    3.0E-22    0.0        0.0    
  100   7650.0-7750.0   4.64E+15    2.7E-22    2.7E-22    0.0        0.0    
  101   7750.0-7850.0   4.65E+15    2.9E-22    2.9E-22    0.0        0.0    
  102   7850.0-7950.0   4.61E+15    2.2E-22    2.2E-22    0.0        0.0    
  103   7950.0-8050.0   4.55E+15    1.6E-22    1.6E-22    0.0        0.0    
  104   8050.0-8150.0   4.44E+15    1.9E-22    1.9E-22    0.0        0.0    
  105   8150.0-8250.0   4.39E+15    1.7E-22    1.7E-22    0.0        0.0    
  106   8250.0-8350.0   4.31E+15    1.4E-22    1.4E-22    0.0        0.0    
  107   8350.0-8450.0   4.24E+15    1.4E-22    1.4E-22    0.0        0.0    
  108   8450.0-8550.0   4.10E+15    1.5E-22    1.5E-22    0.0        0.0    

        Ai coefficients (from Allen and Frederick, 1982) 
        ------------------------------------------------
 INT#       A1           A2            A3            A4             A5            A6            A7            A8            A9
=====================================================================================================================================
 1  9  -1.973602E+01 -8.092201E-02 -4.839265E-01 -1.041207E-01  3.939418E-01  2.984836E-01  9.159857E-02  1.333257E-02  7.600642E-04
 2  9  -2.052518E+01 -8.193594E-02 -2.809525E-01 -2.825028E-01  7.845485E-02  1.559252E-01  6.406164E-02  1.107629E-02  7.059213E-04
 3  7  -2.081294E+01 -1.974461E-01 -1.463684E-01 -3.650741E-02  5.925869E-02  2.323992E-02  2.260529E-03  0.0           0.0    
 4  8  -2.101413E+01 -3.395648E-01 -4.150888E-02  1.251500E-02  4.081477E-02  9.151056E-03 -6.115106E-04 -1.984326E-04  0.0    
 5  9  -2.129869E+01 -4.063352E-01 -2.178907E-02  5.974212E-02  5.151479E-02 -2.401913E-03 -8.343585E-03 -1.956058E-03 -1.390370E-04
 6  4  -2.153128E+01 -4.147369E-01  7.763767E-02  1.905438E-02  0.0           0.0           0.0           0.0           0.0    
 7  4  -2.158311E+01 -4.164652E-01  5.266362E-02  1.655877E-02  0.0           0.0           0.0           0.0           0.0    
 8  5  -2.184813E+01 -4.753880E-01  4.519945E-02  3.228313E-02  3.079373E-03  0.0           0.0           0.0           0.0    
 9  9  -2.200507E+01 -4.628729E-01 -5.022541E-02  2.545036E-02  5.791406E-02  1.179966E-02 -8.296877E-03 -3.238368E-03 -3.069686E-04
10  5  -2.205527E+01 -4.400848E-01 -5.687308E-03  3.712279E-02  6.025527E-03  0.0           0.0           0.0           0.0    
11  6  -2.205261E+01 -5.707936E-01 -3.330207E-02  5.959032E-02  1.510540E-02  1.000376E-03  0.0           0.0           0.0    
12  7  -2.228000E+01 -3.960759E-01 -2.995798E-02  4.918104E-02  9.269081E-03 -1.173411E-03 -2.599386E-04  0.0           0.0    
13  5  -2.256145E+01 -2.054719E-01 -1.094205E-02  2.079595E-02  3.769638E-03  0.0           0.0           0.0           0.0    
14  9  -2.275072E+01 -5.823677E-02 -1.007612E-01  2.404666E-02  4.761876E-02  4.169606E-03 -7.126663E-03 -2.263652E-03 -1.971653E-04
15  5  -2.483327E+01  3.411511E-02 -2.191960E-04  6.129866E-07 -6.227325E-10  0.0           0.0           0.0           0.0    
16  2  -2.292537E+01  1.177283E-04  0.0           0.0           0.0           0.0           0.0           0.0           0.0    
17  1  -2.291902E+01  0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0    
 
        Bi coefficients (from Allen and Frederick, 1982) 
        ------------------------------------------------
 INT#       B1           B2            B3            B4           B5
============================================================================
 1  5  -2.507818E+03  5.435242E+02 -4.434785E+01  1.613607E+00 -2.208047E-02
 2  5  -2.451485E+03  5.174617E+02 -4.096948E+01  1.441835E+00 -1.903091E-02
 3  5  -7.008892E+02  1.334594E+02 -9.549089E+00  3.048766E-01 -3.675314E-03
 4  5  -1.943757E+03  3.918616E+02 -2.966512E+01  9.995864E-01 -1.265243E-02
 5  5  -1.986572E+03  4.058984E+02 -3.112428E+01  1.061508E+00 -1.358757E-02
 6  5  -2.711900E+03  5.369941E+02 -3.988965E+01  1.317533E+00 -1.632895E-02
 7  5  -2.431640E+03  4.729722E+02 -3.452121E+01  1.120677E+00 -1.365618E-02
 8  3  -3.701955E+01  3.623290E+00 -8.929223E-02  0.0           0.0         
 9  5  -1.086239E+03  1.981847E+02 -1.359057E+01  4.155845E-01 -4.788462E-03
10  5  -1.213108E+03  2.277459E+02 -1.612207E+01  5.101389E-01 -6.090518E-03
11  3  -8.334575E+01  7.944254E+00 -1.898894E-01  0.0           0.0         
12  4  -2.139117E+02  2.612729E+01 -1.036749E+00  1.317695E-02  0.0         
13  4  -3.281301E+02  4.307004E+01 -1.870019E+00  2.674331E-02  0.0         
14  5   3.033416E+03 -5.978911E+02  4.370384E+01 -1.406715E+00  1.683967E-02
15  1  -2.535815E+00  0.0           0.0           0.0           0.0         
16  1  -4.474937E+00  0.0           0.0           0.0           0.0         
17  1  -2.996639E+00  0.0           0.0           0.0           0.0         

       Assorted cross sections 
       ------------------------
Int #    O2      H2O      CO2      HO2      N2O      HCl     CCl2F2   CHClF2   CH3Cl   CH3CCL3
==========================================================================================================================================
   1  4.6E-24  2.8E-18  4.5E-21  4.0E-18  1.3E-19  9.2E-19  1.9E-18  3.9E-20  2.5E-19  2.6E-18
   2  5.0E-24  2.0E-18  2.6E-21  4.0E-18  1.4E-19  7.5E-19  1.9E-18  2.9E-20  1.8E-19  2.6E-18
   3  5.5E-24  1.5E-18  1.7E-21  4.0E-18  1.5E-19  6.4E-19  1.8E-18  2.2E-20  1.4E-19  2.6E-18
   4  5.9E-24  1.0E-18  1.1E-21  4.0E-18  1.5E-19  5.2E-19  1.7E-18  1.6E-20  9.6E-20  2.6E-18
   5  6.3E-24  5.8E-19  6.8E-22  4.0E-18  1.5E-19  4.2E-19  1.5E-18  1.1E-20  7.6E-20  2.6E-18
   6  6.7E-24  2.7E-19  4.5E-22  4.0E-18  1.5E-19  3.4E-19  1.3E-18  8.0E-21  5.7E-20  2.6E-18
   7  7.0E-24  9.0E-20  2.6E-22  4.0E-18  1.4E-19  2.7E-19  1.1E-18  4.8E-21  4.0E-20  2.5E-18
   8  7.4E-24  2.3E-20  1.4E-22  4.0E-18  1.3E-19  2.1E-19  9.0E-19  3.5E-21  2.8E-20  2.2E-18
   9  7.6E-24  8.4E-21  8.2E-23  4.2E-18  1.2E-19  1.6E-19  7.0E-19  2.7E-21  2.0E-20  2.0E-18
  10  7.9E-24  3.1E-21  4.4E-23  4.4E-18  1.0E-19  1.2E-19  5.0E-19  1.8E-21  1.3E-20  1.7E-18
  11  8.0E-24  1.1E-21  2.5E-23  4.5E-18  8.6E-20  8.4E-20  3.5E-19  1.2E-21  8.6E-21  1.5E-18
  12  8.1E-24  6.4E-22  1.4E-23  4.7E-18  7.4E-20  6.1E-20  2.5E-19  7.8E-22  5.6E-21  1.3E-18
  13  8.2E-24  3.1E-22  6.0E-24  4.8E-18  5.9E-20  4.4E-20  1.7E-19  5.2E-22  3.5E-21  1.1E-18
  14  8.1E-24  1.1E-22  2.5E-24  4.8E-18  4.6E-20  3.1E-20  1.1E-19  3.3E-22  2.3E-21  8.8E-19
  15  8.0E-24  3.5E-23  7.0E-25  4.9E-18  3.1E-20  2.1E-20  7.0E-20  2.3E-22  1.4E-21  6.2E-19
  16  7.8E-24  7.0E-24  1.0E-25  4.9E-18  2.7E-20  1.5E-20  4.5E-20  1.8E-22  8.0E-22  5.7E-19
