 (nm)        32SO2           33SO2            34SO2            Error 32SO2      Error 33SO2      Error 34SO2
185.5966    2.3358994E-18    2.7090121E-18    3.7811132E-18    3.0677241E-18    1.4568864E-18    3.6621934E-18
185.6232    2.2994252E-18    2.8236801E-18    3.5946130E-18    3.3953545E-18    2.0320875E-18    4.3680773E-18
185.6498    2.3478680E-18    2.8832529E-18    3.5528126E-18    3.7375662E-18    2.7046411E-18    4.4264901E-18
185.6764    2.4149106E-18    2.9142386E-18    3.5950357E-18    4.0121990E-18    2.6052831E-18    3.8187699E-18
185.7030    2.4696875E-18    2.9120235E-18    3.6149872E-18    3.7083221E-18    2.4631408E-18    3.1024285E-18
185.7296    2.5651115E-18    2.8180382E-18    3.5981898E-18    3.1325652E-18    2.4366203E-18    2.7372290E-18
185.7562    2.7066162E-18    2.5841329E-18    3.6151193E-18    2.6018550E-18    2.2073205E-18    2.6935673E-18
185.7828    2.7741896E-18    2.2324702E-18    3.6476869E-18    2.2233922E-18    1.8289226E-18    2.4991819E-18
185.8094    2.6507938E-18    1.8404118E-18    3.5596444E-18    2.9019263E-18    1.4718159E-18    2.2027016E-18
185.8361    2.3258166E-18    1.5343784E-18    3.2705508E-18    3.9178740E-18    1.2012284E-18    2.5332658E-18
185.8627    1.8992416E-18    1.4639567E-18    2.8711990E-18    3.9509344E-18    1.1289018E-18    2.9585190E-18
185.8894    1.5659640E-18    1.6691610E-18    2.5434142E-18    3.5046445E-18    1.2559558E-18    3.0248249E-18
185.9160    1.5076790E-18    1.9800644E-18    2.3760857E-18    2.8533240E-18    1.4259749E-18    2.9221046E-18
185.9427    1.7505125E-18    2.1625316E-18    2.3031664E-18    1.5820243E-18    1.5454281E-18    2.9380086E-18
185.9694    2.1156185E-18    2.1421437E-18    2.2572186E-18    4.2725480E-19    1.6646833E-18    2.9871185E-18
185.9961    2.3617732E-18    2.0020952E-18    2.3189440E-18    1.2881304E-18    1.7397202E-18    2.8355256E-18
186.0228    2.4124342E-18    1.8251164E-18    2.5965335E-18    2.6302995E-18    1.5746606E-18    2.4382929E-18
186.0495    2.4045379E-18    1.6187154E-18    3.0061521E-18    3.6158660E-18    1.2198217E-18    1.8680854E-18
186.0762    2.5209983E-18    1.3916991E-18    3.3507748E-18    4.0290401E-18    1.0664294E-18    1.3038401E-18
186.1029    2.8570657E-18    1.2207645E-18    3.5454503E-18    3.8190314E-18    1.3252654E-18    1.1394576E-18
186.1296    3.3918786E-18    1.2032767E-18    3.6263740E-18    2.8610748E-18    1.5004187E-18    1.3623551E-18
186.1563    4.0301450E-18    1.3596888E-18    3.6236688E-18    1.6592167E-18    1.4127150E-18    1.8366207E-18
186.1831    4.6846975E-18    1.6055565E-18    3.5160145E-18    2.4594712E-18    1.2691227E-18    2.5771984E-18
186.2098    5.2911183E-18    1.8461717E-18    3.3031479E-18    3.2810631E-18    1.1990346E-18    3.1792897E-18
186.2366    5.7457239E-18    2.0936062E-18    3.0546809E-18    2.8517637E-18    1.1542952E-18    3.2183179E-18
186.2633    5.8565478E-18    2.4205326E-18    2.8706022E-18    2.0457667E-18    1.1021683E-18    2.8310210E-18
186.2901    5.5308420E-18    2.8163665E-18    2.8268063E-18    1.6543086E-18    1.0762475E-18    2.5448318E-18
186.3169    4.9607357E-18    3.2081586E-18    2.9374156E-18    2.4728929E-18    1.1543702E-18    2.6154012E-18
186.3437    4.4497877E-18    3.5522047E-18    3.1290665E-18    3.8158113E-18    1.3268629E-18    2.7158999E-18
186.3705    4.1828955E-18    3.8665948E-18    3.2526912E-18    4.6094611E-18    1.3912722E-18    2.4674779E-18
186.3973    4.1140609E-18    4.2235556E-18    3.2478578E-18    4.0203264E-18    1.2759721E-18    1.9055188E-18
186.4241    3.9843207E-18    4.5614659E-18    3.2698241E-18    2.9394327E-18    1.0616698E-18    1.4115373E-18
186.4509    3.6327006E-18    4.7321267E-18    3.4862653E-18    2.0072666E-18    8.1351292E-19    1.3069190E-18
186.4777    3.1886572E-18    4.6657138E-18    3.8652714E-18    1.0288921E-18    7.0806870E-19    1.5951837E-18
186.5046    2.8097505E-18    4.4369508E-18    4.2319598E-18    1.2232589E-18    7.4818205E-19    1.7811540E-18
186.5314    2.4690107E-18    4.2591512E-18    4.4541294E-18    2.2301419E-18    8.4977470E-19    1.6762111E-18
186.5582    2.0440905E-18    4.2038845E-18    4.5777720E-18    2.9129696E-18    9.9521912E-19    1.5316682E-18
186.5851    1.5637446E-18    4.0978391E-18    4.7659243E-18    3.0580328E-18    1.0453495E-18    1.5624243E-18
186.6120    1.2877267E-18    3.8407055E-18    5.0725599E-18    3.2554568E-18    9.8043609E-19    1.8164519E-18
186.6388    1.4517751E-18    3.5114972E-18    5.3921643E-18    3.6300369E-18    8.4226207E-19    2.2994013E-18
186.6657    1.9859152E-18    3.2346725E-18    5.6084879E-18    2.9103365E-18    7.1735662E-19    2.6597736E-18
186.6926    2.5840678E-18    3.1018663E-18    5.6626349E-18    2.3614925E-18    6.7275753E-19    2.5539190E-18
186.7195    2.9653204E-18    3.1047480E-18    5.5331532E-18    1.7885262E-18    7.8549046E-19    2.0205253E-18
186.7464    3.0159842E-18    3.1593866E-18    5.2265836E-18    1.1800379E-18    9.5688029E-19    1.3702886E-18
186.7733    2.8449041E-18    3.2077604E-18    4.7773866E-18    7.2573001E-19    1.0083333E-18    1.1801258E-18
186.8002    2.6697013E-18    3.2302314E-18    4.2705779E-18    7.9473496E-19    9.3898357E-19    1.5095565E-18
186.8271    2.6267910E-18    3.1834994E-18    3.8589592E-18    1.2934280E-18    7.4085093E-19    1.8021496E-18
186.8541    2.7212587E-18    3.0322951E-18    3.6599673E-18    1.6877074E-18    5.1758202E-19    1.9974408E-18
186.8810    2.8447487E-18    2.8017576E-18    3.6343178E-18    1.8636655E-18    6.0110877E-19    2.1804575E-18
186.9080    2.8453121E-18    2.5598966E-18    3.6362580E-18    1.9664550E-18    7.8807948E-19    2.1987814E-18
186.9349    2.6546569E-18    2.3928279E-18    3.5649651E-18    1.7539588E-18    8.2996494E-19    1.9027936E-18
186.9619    2.3883554E-18    2.3364661E-18    3.4160104E-18    1.4431568E-18    7.9640028E-19    1.3862118E-18
186.9888    2.1819907E-18    2.3574061E-18    3.2226325E-18    1.7053694E-18    6.3722622E-19    9.6877671E-19
187.0158    2.0303695E-18    2.4030023E-18    3.0269412E-18    2.3461677E-18    3.6533354E-19    1.0047366E-18
187.0428    1.8908752E-18    2.4326206E-18    2.8928961E-18    2.5255144E-18    7.1332838E-19    1.2667727E-18
187.0698    1.7930090E-18    2.4279957E-18    2.8801830E-18    2.0492011E-18    1.2046379E-18    1.6851367E-18
187.0968    1.8140541E-18    2.4035711E-18    2.9769595E-18    1.6224883E-18    1.4389988E-18    2.1217687E-18
187.1238    2.0098422E-18    2.3954832E-18    3.1038506E-18    1.9454321E-18    1.3454529E-18    2.2406151E-18
187.1508    2.4079918E-18    2.3995202E-18    3.1644908E-18    2.4313622E-18    1.0816730E-18    2.0282041E-18
187.1779    3.0172611E-18    2.3524283E-18    3.1001243E-18    2.6359077E-18    9.1187644E-19    1.7712341E-18
187.2049    3.7821818E-18    2.2212002E-18    2.9368378E-18    2.6949085E-18    9.8044276E-19    1.5345389E-18
187.2319    4.5242377E-18    2.0509235E-18    2.7515858E-18    2.6734034E-18    1.1387423E-18    1.1433126E-18
187.2590    4.9982929E-18    1.9133460E-18    2.6064832E-18    2.4152575E-18    1.1561368E-18    7.4173995E-19
187.2860    5.0673343E-18    1.8769048E-18    2.5231542E-18    2.4327761E-18    9.1896916E-19    5.6401269E-19
187.3131    4.7873283E-18    2.0063143E-18    2.4933432E-18    3.0056483E-18    6.3550159E-19    5.6265737E-19
187.3402    4.3792220E-18    2.3544850E-18    2.5192345E-18    3.2594224E-18    5.7777477E-19    8.7842248E-19
187.3672    4.0865111E-18    2.9499940E-18    2.6371431E-18    2.8726811E-18    7.4390427E-19    1.3109854E-18
187.3943    3.9926334E-18    3.7238389E-18    2.8777990E-18    2.3795287E-18    9.6928745E-19    1.6041874E-18
187.4214    3.9844655E-18    4.4240611E-18    3.2083337E-18    2.1759137E-18    1.0348504E-18    1.7899051E-18
187.4485    3.9262995E-18    4.8314854E-18    3.5166488E-18    2.2433279E-18    8.6419892E-19    2.0118922E-18
187.4756    3.8367028E-18    4.9773669E-18    3.7127474E-18    2.4838138E-18    6.2782792E-19    2.2566447E-18
187.5028    3.8233303E-18    4.9297683E-18    3.8700566E-18    2.6673965E-18    6.3702574E-19    2.3577983E-18
187.5299    3.9291724E-18    4.7539727E-18    4.1950195E-18    2.6260215E-18    8.0794154E-19    2.2834557E-18
187.5570    4.0881408E-18    4.5165577E-18    4.8356446E-18    2.3967691E-18    8.5954725E-19    2.1371981E-18
187.5842    4.1715103E-18    4.2531455E-18    5.6631550E-18    2.0613374E-18    8.2236570E-19    1.9802249E-18
187.6113    4.0925870E-18    3.9760729E-18    6.2815412E-18    1.7937012E-18    8.7357217E-19    1.8005516E-18
187.6385    3.8479925E-18    3.7053931E-18    6.4059773E-18    2.0031043E-18    9.9262814E-19    1.5029654E-18
187.6656    3.5146004E-18    3.5020252E-18    6.1360120E-18    2.5129387E-18    9.7408656E-19    1.0311694E-18
